index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
60081,rise,13,s u n r i s e,0 4 5 8 10 11 12,"""- r - s -""","""s u n - i - e""","Simple edit score, Progressive alignment",60081,rise,13,s u n r i s e,0 4 5 8 10 11 12,"""- r - s -""","""s u n - i - e""","Simple edit score, Progressive alignment with LCS"
60082,rise,14,s u n r i s e s,0 4 5 8 10 11 12 15,"""- r - s -""","""s u n - i - e s""","Simple edit score, Progressive alignment",60082,rise,14,s u n r i s e s,0 4 5 8 10 11 12 15,"""- r - s -""","""s u n - i - e s""","Simple edit score, Progressive alignment with LCS"
60083,rise,15,u p r i s e,4 6 8 10 11 12,"""- r - s -""","""u p - i - e""","Simple edit score, Progressive alignment",60083,rise,15,u p r i s e,4 6 8 10 11 12,"""- r - s -""","""u p - i - e""","Simple edit score, Progressive alignment with LCS"
60084,rise,16,u p r i s e n,4 6 8 10 11 12 16,"""- r - s -""","""u p - i - e n""","Simple edit score, Progressive alignment",60084,rise,16,u p r i s e n,4 6 8 10 11 12 16,"""- r - s -""","""u p - i - e n""","Simple edit score, Progressive alignment with LCS"
60085,rise,17,u p r i s e s,4 6 8 10 11 12 15,"""- r - s -""","""u p - i - e s""","Simple edit score, Progressive alignment",60085,rise,17,u p r i s e s,4 6 8 10 11 12 15,"""- r - s -""","""u p - i - e s""","Simple edit score, Progressive alignment with LCS"
60086,rise,18,u p r i s i n g,4 6 8 10 11 13 16 17,"""- r - s -""","""u p - i - i n g""","Simple edit score, Progressive alignment",60086,rise,18,u p r i s i n g,4 6 8 10 11 13 16 17,"""- r - s -""","""u p - i - i n g""","Simple edit score, Progressive alignment with LCS"
60087,rise,19,u p r i s i n g s,4 6 8 10 11 13 16 17 18,"""- r - s -""","""u p - i - i n g s""","Simple edit score, Progressive alignment",60087,rise,19,u p r i s i n g s,4 6 8 10 11 13 16 17 18,"""- r - s -""","""u p - i - i n g s""","Simple edit score, Progressive alignment with LCS"
60088,rise,20,u p r o s e,4 6 8 9 11 12,"""- r - s -""","""u p - o - e""","Simple edit score, Progressive alignment",60088,rise,20,u p r o s e,4 6 8 9 11 12,"""- r - s -""","""u p - o - e""","Simple edit score, Progressive alignment with LCS"
74854,thirty,0,t h i r t i e s,0 1 2 3 4 5 6 7,"""t h i r t -""","""- i e s""","Simple edit score, Progressive alignment",74854,thirty,0,t h i r t i e s,0 1 2 3 4 5 6 7,"""t h i r t -""","""- i e s""","Simple edit score, Progressive alignment with LCS"
74855,thirty,1,t h i r t y,0 1 2 3 4 8,"""t h i r t -""","""- y""","Simple edit score, Progressive alignment",74855,thirty,1,t h i r t y,0 1 2 3 4 8,"""t h i r t -""","""- y""","Simple edit score, Progressive alignment with LCS"
70586,stick shift,0,s t i c k _ s h i f t,0 1 2 3 4 5 6 7 8 9 10,"""s t i c k _ s h i f t -""","""-""","Simple edit score, Progressive alignment",70586,stick shift,0,s t i c k _ s h i f t,0 1 2 3 4 5 6 7 8 9 10,"""s t i c k _ s h i f t -""","""-""","Simple edit score, Progressive alignment with LCS"
70587,stick shift,1,s t i c k _ s h i f t s,0 1 2 3 4 5 6 7 8 9 10 11,"""s t i c k _ s h i f t -""","""- s""","Simple edit score, Progressive alignment",70587,stick shift,1,s t i c k _ s h i f t s,0 1 2 3 4 5 6 7 8 9 10 11,"""s t i c k _ s h i f t -""","""- s""","Simple edit score, Progressive alignment with LCS"
31992,grave,0,a g g r a v a t e,0 1 2 3 4 5 7 11 13,"""- g - r a v -""","""a - g - a t e""","Simple edit score, Progressive alignment",31992,grave,0,a g g r a v a t e,0 1 2 3 4 5 7 11 13,"""- g - r a v -""","""a - g - a t e""","Simple edit score, Progressive alignment with LCS"
31993,grave,1,a g g r a v a t e d,0 1 2 3 4 5 7 11 13 18,"""- g - r a v -""","""a - g - a t e d""","Simple edit score, Progressive alignment",31993,grave,1,a g g r a v a t e d,0 1 2 3 4 5 7 11 13 18,"""- g - r a v -""","""a - g - a t e d""","Simple edit score, Progressive alignment with LCS"
31994,grave,2,a g g r a v a t e s,0 1 2 3 4 5 7 11 13 19,"""- g - r a v -""","""a - g - a t e s""","Simple edit score, Progressive alignment",31994,grave,2,a g g r a v a t e s,0 1 2 3 4 5 7 11 13 19,"""- g - r a v -""","""a - g - a t e s""","Simple edit score, Progressive alignment with LCS"
31995,grave,3,a g g r a v a t i n g,0 1 2 3 4 5 7 11 14 22 23,"""- g - r a v -""","""a - g - a t i n g""","Simple edit score, Progressive alignment",31995,grave,3,a g g r a v a t i n g,0 1 2 3 4 5 7 11 14 22 23,"""- g - r a v -""","""a - g - a t i n g""","Simple edit score, Progressive alignment with LCS"
31996,grave,4,a g g r a v a t i o n,0 1 2 3 4 5 7 11 14 21 22,"""- g - r a v -""","""a - g - a t i o n""","Simple edit score, Progressive alignment",31996,grave,4,a g g r a v a t i o n,0 1 2 3 4 5 7 11 14 21 22,"""- g - r a v -""","""a - g - a t i o n""","Simple edit score, Progressive alignment with LCS"
31997,grave,5,a g g r a v a t i o n s,0 1 2 3 4 5 7 11 14 21 22 24,"""- g - r a v -""","""a - g - a t i o n s""","Simple edit score, Progressive alignment",31997,grave,5,a g g r a v a t i o n s,0 1 2 3 4 5 7 11 14 21 22 24,"""- g - r a v -""","""a - g - a t i o n s""","Simple edit score, Progressive alignment with LCS"
31998,grave,6,g r a v e,1 3 4 5 13,"""- g - r a v -""","""- e""","Simple edit score, Progressive alignment",31998,grave,6,g r a v e,1 3 4 5 13,"""- g - r a v -""","""- e""","Simple edit score, Progressive alignment with LCS"
31999,grave,7,g r a v e - c l o t h e s,1 3 4 5 6 8 9 10 11 12 13 19,"""- g - r a v -""","""- e c l o t h e s""","Simple edit score, Progressive alignment",31999,grave,7,g r a v e - c l o t h e s,1 3 4 5 6 8 9 10 11 12 13 19,"""- g - r a v -""","""- e c l o t h e s""","Simple edit score, Progressive alignment with LCS"
32000,grave,8,g r a v e l y,1 3 4 5 13 14 15,"""- g - r a v -""","""- e l y""","Simple edit score, Progressive alignment",32000,grave,8,g r a v e l y,1 3 4 5 13 14 15,"""- g - r a v -""","""- e l y""","Simple edit score, Progressive alignment with LCS"
32001,grave,9,g r a v e r,1 3 4 5 13 17,"""- g - r a v -""","""- e r""","Simple edit score, Progressive alignment",32001,grave,9,g r a v e r,1 3 4 5 13 17,"""- g - r a v -""","""- e r""","Simple edit score, Progressive alignment with LCS"
32002,grave,10,g r a v e s,1 3 4 5 13 19,"""- g - r a v -""","""- e s""","Simple edit score, Progressive alignment",32002,grave,10,g r a v e s,1 3 4 5 13 19,"""- g - r a v -""","""- e s""","Simple edit score, Progressive alignment with LCS"
32003,grave,11,g r a v e s t,1 3 4 5 13 19 20,"""- g - r a v -""","""- e s t""","Simple edit score, Progressive alignment",32003,grave,11,g r a v e s t,1 3 4 5 13 19 20,"""- g - r a v -""","""- e s t""","Simple edit score, Progressive alignment with LCS"
32004,grave,12,g r a v e s t o n e,1 3 4 5 13 19 20 21 22 23,"""- g - r a v -""","""- e s t o n e""","Simple edit score, Progressive alignment",32004,grave,12,g r a v e s t o n e,1 3 4 5 13 19 20 21 22 23,"""- g - r a v -""","""- e s t o n e""","Simple edit score, Progressive alignment with LCS"
32005,grave,13,g r a v e s t o n e s,1 3 4 5 13 19 20 21 22 23 24,"""- g - r a v -""","""- e s t o n e s""","Simple edit score, Progressive alignment",32005,grave,13,g r a v e s t o n e s,1 3 4 5 13 19 20 21 22 23 24,"""- g - r a v -""","""- e s t o n e s""","Simple edit score, Progressive alignment with LCS"
32006,grave,14,g r a v e y a r d,1 3 4 5 13 15 16 17 18,"""- g - r a v -""","""- e y a r d""","Simple edit score, Progressive alignment",32006,grave,14,g r a v e y a r d,1 3 4 5 13 15 16 17 18,"""- g - r a v -""","""- e y a r d""","Simple edit score, Progressive alignment with LCS"
32007,grave,15,g r a v e y a r d s,1 3 4 5 13 15 16 17 18 19,"""- g - r a v -""","""- e y a r d s""","Simple edit score, Progressive alignment",32007,grave,15,g r a v e y a r d s,1 3 4 5 13 15 16 17 18 19,"""- g - r a v -""","""- e y a r d s""","Simple edit score, Progressive alignment with LCS"
32008,grave,16,g r a v i t y,1 3 4 5 6 11 15,"""- g - r a v -""","""- i t y""","Simple edit score, Progressive alignment",32008,grave,16,g r a v i t y,1 3 4 5 6 11 15,"""- g - r a v -""","""- i t y""","Simple edit score, Progressive alignment with LCS"
27642,floor cloth,0,f l o o r _ c l o t h,0 1 2 3 4 5 6 7 8 9 10,"""f l o o r _ c l o t h -""","""-""","Simple edit score, Progressive alignment",27642,floor cloth,0,f l o o r _ c l o t h,0 1 2 3 4 5 6 7 8 9 10,"""f l o o r _ c l o t h -""","""-""","Simple edit score, Progressive alignment with LCS"
27643,floor cloth,1,f l o o r _ c l o t h s,0 1 2 3 4 5 6 7 8 9 10 11,"""f l o o r _ c l o t h -""","""- s""","Simple edit score, Progressive alignment",27643,floor cloth,1,f l o o r _ c l o t h s,0 1 2 3 4 5 6 7 8 9 10 11,"""f l o o r _ c l o t h -""","""- s""","Simple edit score, Progressive alignment with LCS"
13568,cinema,0,c i n e m a,0 1 2 3 4 5,"""c i n e m a -""","""-""","Simple edit score, Progressive alignment",13568,cinema,0,c i n e m a,0 1 2 3 4 5,"""c i n e m a -""","""-""","Simple edit score, Progressive alignment with LCS"
13569,cinema,1,c i n e m a s,0 1 2 3 4 5 16,"""c i n e m a -""","""- s""","Simple edit score, Progressive alignment",13569,cinema,1,c i n e m a s,0 1 2 3 4 5 16,"""c i n e m a -""","""- s""","Simple edit score, Progressive alignment with LCS"
13570,cinema,2,c i n e m a t i c,0 1 2 3 4 5 6 14 15,"""c i n e m a -""","""- t i c""","Simple edit score, Progressive alignment",13570,cinema,2,c i n e m a t i c,0 1 2 3 4 5 6 14 15,"""c i n e m a -""","""- t i c""","Simple edit score, Progressive alignment with LCS"
13571,cinema,3,c i n e m a t o g r a p h,0 1 2 3 4 5 6 7 8 9 10 11 12,"""c i n e m a -""","""- t o g r a p h""","Simple edit score, Progressive alignment",13571,cinema,3,c i n e m a t o g r a p h,0 1 2 3 4 5 6 7 8 9 10 11 12,"""c i n e m a -""","""- t o g r a p h""","Simple edit score, Progressive alignment with LCS"
13572,cinema,4,c i n e m a t o g r a p h s,0 1 2 3 4 5 6 7 8 9 10 11 12 16,"""c i n e m a -""","""- t o g r a p h s""","Simple edit score, Progressive alignment",13572,cinema,4,c i n e m a t o g r a p h s,0 1 2 3 4 5 6 7 8 9 10 11 12 16,"""c i n e m a -""","""- t o g r a p h s""","Simple edit score, Progressive alignment with LCS"
13573,cinema,5,c i n e m a t o g r a p h y,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""c i n e m a -""","""- t o g r a p h y""","Simple edit score, Progressive alignment",13573,cinema,5,c i n e m a t o g r a p h y,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""c i n e m a -""","""- t o g r a p h y""","Simple edit score, Progressive alignment with LCS"
29637,funeral parlour,0,f u n e r a l _ p a r l o u r,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""f u n e r a l _ p a r l o u r -""","""-""","Simple edit score, Progressive alignment",29637,funeral parlour,0,f u n e r a l _ p a r l o u r,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""f u n e r a l _ p a r l o u r -""","""-""","Simple edit score, Progressive alignment with LCS"
29638,funeral parlour,1,f u n e r a l _ p a r l o u r s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,"""f u n e r a l _ p a r l o u r -""","""- s""","Simple edit score, Progressive alignment",29638,funeral parlour,1,f u n e r a l _ p a r l o u r s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,"""f u n e r a l _ p a r l o u r -""","""- s""","Simple edit score, Progressive alignment with LCS"
22749,dripping,0,d r i p p i n g,0 1 2 3 4 5 6 7,"""d r i p p i n g -""","""-""","Simple edit score, Progressive alignment",22749,dripping,0,d r i p p i n g,0 1 2 3 4 5 6 7,"""d r i p p i n g -""","""-""","Simple edit score, Progressive alignment with LCS"
22750,dripping,1,d r i p p i n g - p a n,0 1 2 3 4 5 6 7 8 9 10,"""d r i p p i n g -""","""- p a n""","Simple edit score, Progressive alignment",22750,dripping,1,d r i p p i n g - p a n,0 1 2 3 4 5 6 7 8 9 10,"""d r i p p i n g -""","""- p a n""","Simple edit score, Progressive alignment with LCS"
22751,dripping,2,d r i p p i n g - p a n s,0 1 2 3 4 5 6 7 8 9 10 11,"""d r i p p i n g -""","""- p a n s""","Simple edit score, Progressive alignment",22751,dripping,2,d r i p p i n g - p a n s,0 1 2 3 4 5 6 7 8 9 10 11,"""d r i p p i n g -""","""- p a n s""","Simple edit score, Progressive alignment with LCS"
46349,mustang,0,m u s t a n g,0 1 2 3 4 5 6,"""m u s t a n g -""","""-""","Simple edit score, Progressive alignment",46349,mustang,0,m u s t a n g,0 1 2 3 4 5 6,"""m u s t a n g -""","""-""","Simple edit score, Progressive alignment with LCS"
46350,mustang,1,m u s t a n g s,0 1 2 3 4 5 6 7,"""m u s t a n g -""","""- s""","Simple edit score, Progressive alignment",46350,mustang,1,m u s t a n g s,0 1 2 3 4 5 6 7,"""m u s t a n g -""","""- s""","Simple edit score, Progressive alignment with LCS"
2021,acid test,0,a c i d _ t e s t,0 1 2 3 4 5 6 7 8,"""a c i d _ t e s t -""","""-""","Simple edit score, Progressive alignment",2021,acid test,0,a c i d _ t e s t,0 1 2 3 4 5 6 7 8,"""a c i d _ t e s t -""","""-""","Simple edit score, Progressive alignment with LCS"
2022,acid test,1,a c i d _ t e s t s,0 1 2 3 4 5 6 7 8 9,"""a c i d _ t e s t -""","""- s""","Simple edit score, Progressive alignment",2022,acid test,1,a c i d _ t e s t s,0 1 2 3 4 5 6 7 8 9,"""a c i d _ t e s t -""","""- s""","Simple edit score, Progressive alignment with LCS"
54339,pout,0,p o u t,0 1 2 3,"""p o u t -""","""-""","Simple edit score, Progressive alignment",54339,pout,0,p o u t,0 1 2 3,"""p o u t -""","""-""","Simple edit score, Progressive alignment with LCS"
54340,pout,1,p o u t e d,0 1 2 3 7 8,"""p o u t -""","""- e d""","Simple edit score, Progressive alignment",54340,pout,1,p o u t e d,0 1 2 3 7 8,"""p o u t -""","""- e d""","Simple edit score, Progressive alignment with LCS"
54341,pout,2,p o u t i n g,0 1 2 3 4 5 6,"""p o u t -""","""- i n g""","Simple edit score, Progressive alignment",54341,pout,2,p o u t i n g,0 1 2 3 4 5 6,"""p o u t -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
54342,pout,3,p o u t s,0 1 2 3 9,"""p o u t -""","""- s""","Simple edit score, Progressive alignment",54342,pout,3,p o u t s,0 1 2 3 9,"""p o u t -""","""- s""","Simple edit score, Progressive alignment with LCS"
4076,asp,0,a s p,0 1 2,"""a s p -""","""-""","Simple edit score, Progressive alignment",4076,asp,0,a s p,0 1 2,"""a s p -""","""-""","Simple edit score, Progressive alignment with LCS"
4077,asp,1,a s p s,0 1 2 3,"""a s p -""","""- s""","Simple edit score, Progressive alignment",4077,asp,1,a s p s,0 1 2 3,"""a s p -""","""- s""","Simple edit score, Progressive alignment with LCS"
51438,pharos,0,p h a r o s,0 1 2 3 4 7,"""p h a r o - s""","""-""","Simple edit score, Progressive alignment",51438,pharos,0,p h a r o s,0 1 2 3 4 7,"""p h a r o - s""","""-""","Simple edit score, Progressive alignment with LCS"
51439,pharos,1,p h a r o s e s,0 1 2 3 4 5 6 7,"""p h a r o - s""","""- s e -""","Simple edit score, Progressive alignment",51439,pharos,1,p h a r o s e s,0 1 2 3 4 5 6 7,"""p h a r o - s""","""- s e -""","Simple edit score, Progressive alignment with LCS"
50703,peak,0,o f f - p e a k,0 1 2 3 4 5 6,"""- p e a k -""","""o f f -""","Simple edit score, Progressive alignment",50703,peak,0,o f f - p e a k,0 1 2 3 4 5 6,"""- p e a k -""","""o f f -""","Simple edit score, Progressive alignment with LCS"
50704,peak,1,p e a k,3 4 5 6,"""- p e a k -""","""-""","Simple edit score, Progressive alignment",50704,peak,1,p e a k,3 4 5 6,"""- p e a k -""","""-""","Simple edit score, Progressive alignment with LCS"
50705,peak,2,p e a k e d,3 4 5 6 10 11,"""- p e a k -""","""- e d""","Simple edit score, Progressive alignment",50705,peak,2,p e a k e d,3 4 5 6 10 11,"""- p e a k -""","""- e d""","Simple edit score, Progressive alignment with LCS"
50706,peak,3,p e a k i e r,3 4 5 6 7 10 13,"""- p e a k -""","""- i e r""","Simple edit score, Progressive alignment",50706,peak,3,p e a k i e r,3 4 5 6 7 10 13,"""- p e a k -""","""- i e r""","Simple edit score, Progressive alignment with LCS"
50707,peak,4,p e a k i e s t,3 4 5 6 7 10 14 15,"""- p e a k -""","""- i e s t""","Simple edit score, Progressive alignment",50707,peak,4,p e a k i e s t,3 4 5 6 7 10 14 15,"""- p e a k -""","""- i e s t""","Simple edit score, Progressive alignment with LCS"
50708,peak,5,p e a k i n g,3 4 5 6 7 8 9,"""- p e a k -""","""- i n g""","Simple edit score, Progressive alignment",50708,peak,5,p e a k i n g,3 4 5 6 7 8 9,"""- p e a k -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
50709,peak,6,p e a k s,3 4 5 6 14,"""- p e a k -""","""- s""","Simple edit score, Progressive alignment",50709,peak,6,p e a k s,3 4 5 6 14,"""- p e a k -""","""- s""","Simple edit score, Progressive alignment with LCS"
50710,peak,7,p e a k y,3 4 5 6 12,"""- p e a k -""","""- y""","Simple edit score, Progressive alignment",50710,peak,7,p e a k y,3 4 5 6 12,"""- p e a k -""","""- y""","Simple edit score, Progressive alignment with LCS"
60767,round,0,R o u n d h e a d,5 6 7 8 9 11 12 13 19,"""- o u n d -""","""R - h e a d""","Simple edit score, Progressive alignment",60767,round,0,R o u n d h e a d,5 6 7 8 9 11 12 13 19,"""- o u n d -""","""R - h e a d""","Simple edit score, Progressive alignment with LCS"
60768,round,1,R o u n d h e a d s,5 6 7 8 9 11 12 13 19 21,"""- o u n d -""","""R - h e a d s""","Simple edit score, Progressive alignment",60768,round,1,R o u n d h e a d s,5 6 7 8 9 11 12 13 19 21,"""- o u n d -""","""R - h e a d s""","Simple edit score, Progressive alignment with LCS"
60769,round,2,a r o u n d,0 4 6 7 8 9,"""- o u n d -""","""a r -""","Simple edit score, Progressive alignment",60769,round,2,a r o u n d,0 4 6 7 8 9,"""- o u n d -""","""a r -""","Simple edit score, Progressive alignment with LCS"
60770,round,3,r o u n d,4 6 7 8 9,"""- o u n d -""","""r -""","Simple edit score, Progressive alignment",60770,round,3,r o u n d,4 6 7 8 9,"""- o u n d -""","""r -""","Simple edit score, Progressive alignment with LCS"
60771,round,4,r o u n d - b a c k e d,4 6 7 8 9 10 13 15 16 18 19,"""- o u n d -""","""r - b a c k e d""","Simple edit score, Progressive alignment",60771,round,4,r o u n d - b a c k e d,4 6 7 8 9 10 13 15 16 18 19,"""- o u n d -""","""r - b a c k e d""","Simple edit score, Progressive alignment with LCS"
60772,round,5,r o u n d - e y e d,4 6 7 8 9 12 17 18 19,"""- o u n d -""","""r - e y e d""","Simple edit score, Progressive alignment",60772,round,5,r o u n d - e y e d,4 6 7 8 9 12 17 18 19,"""- o u n d -""","""r - e y e d""","Simple edit score, Progressive alignment with LCS"
60773,round,6,r o u n d - h a n d,4 6 7 8 9 11 13 14 19,"""- o u n d -""","""r - h a n d""","Simple edit score, Progressive alignment",60773,round,6,r o u n d - h a n d,4 6 7 8 9 11 13 14 19,"""- o u n d -""","""r - h a n d""","Simple edit score, Progressive alignment with LCS"
60774,round,7,r o u n d - s h o t,4 6 7 8 9 21 22 23 27,"""- o u n d -""","""r - s h o t""","Simple edit score, Progressive alignment",60774,round,7,r o u n d - s h o t,4 6 7 8 9 21 22 23 27,"""- o u n d -""","""r - s h o t""","Simple edit score, Progressive alignment with LCS"
