index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
76062,torpedo,5,t o r p e d o e d,0 1 2 3 4 5 6 16 17,"""t o r p e d o -""","""- e d""","Simple edit score, Progressive alignment",76062,torpedo,5,t o r p e d o e d,0 1 2 3 4 5 6 16 17,"""t o r p e d o -""","""- e d""","Simple edit score, Progressive alignment with LCS"
76063,torpedo,6,t o r p e d o e s,0 1 2 3 4 5 6 16 18,"""t o r p e d o -""","""- e s""","Simple edit score, Progressive alignment",76063,torpedo,6,t o r p e d o e s,0 1 2 3 4 5 6 16 18,"""t o r p e d o -""","""- e s""","Simple edit score, Progressive alignment with LCS"
76064,torpedo,7,t o r p e d o i n g,0 1 2 3 4 5 6 7 14 15,"""t o r p e d o -""","""- i n g""","Simple edit score, Progressive alignment",76064,torpedo,7,t o r p e d o i n g,0 1 2 3 4 5 6 7 14 15,"""t o r p e d o -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
76065,torpedo,8,t o r p e d o s,0 1 2 3 4 5 6 18,"""t o r p e d o -""","""- s""","Simple edit score, Progressive alignment",76065,torpedo,8,t o r p e d o s,0 1 2 3 4 5 6 18,"""t o r p e d o -""","""- s""","Simple edit score, Progressive alignment with LCS"
42370,lump together,0,l u m p _ t o g e t h e r,0 1 2 3 10 11 12 13 14 15 16 17 18,"""l u m p - _ t o g e t h e r""","""-""","Simple edit score, Progressive alignment",42370,lump together,0,l u m p _ t o g e t h e r,0 1 2 3 10 11 12 13 14 15 16 17 18,"""l u m p - _ t o g e t h e r""","""-""","Simple edit score, Progressive alignment with LCS"
42371,lump together,1,l u m p e d _ t o g e t h e r,0 1 2 3 7 8 10 11 12 13 14 15 16 17 18,"""l u m p - _ t o g e t h e r""","""- e d -""","Simple edit score, Progressive alignment",42371,lump together,1,l u m p e d _ t o g e t h e r,0 1 2 3 7 8 10 11 12 13 14 15 16 17 18,"""l u m p - _ t o g e t h e r""","""- e d -""","Simple edit score, Progressive alignment with LCS"
42372,lump together,2,l u m p i n g _ t o g e t h e r,0 1 2 3 4 5 6 10 11 12 13 14 15 16 17 18,"""l u m p - _ t o g e t h e r""","""- i n g -""","Simple edit score, Progressive alignment",42372,lump together,2,l u m p i n g _ t o g e t h e r,0 1 2 3 4 5 6 10 11 12 13 14 15 16 17 18,"""l u m p - _ t o g e t h e r""","""- i n g -""","Simple edit score, Progressive alignment with LCS"
42373,lump together,3,l u m p s _ t o g e t h e r,0 1 2 3 9 10 11 12 13 14 15 16 17 18,"""l u m p - _ t o g e t h e r""","""- s -""","Simple edit score, Progressive alignment",42373,lump together,3,l u m p s _ t o g e t h e r,0 1 2 3 9 10 11 12 13 14 15 16 17 18,"""l u m p - _ t o g e t h e r""","""- s -""","Simple edit score, Progressive alignment with LCS"
67311,snag,0,s n a g,0 1 2 4,"""s n a - g -""","""-""","Simple edit score, Progressive alignment",67311,snag,0,s n a g,0 1 2 4,"""s n a - g -""","""-""","Simple edit score, Progressive alignment with LCS"
67312,snag,1,s n a g g e d,0 1 2 4 7 8 9,"""s n a - g -""","""- g e d""","Simple edit score, Progressive alignment",67312,snag,1,s n a g g e d,0 1 2 3 4 8 9,"""s n a - g -""","""- g - e d""","Simple edit score, Progressive alignment with LCS"
67313,snag,2,s n a g g i n g,0 1 2 3 4 5 6 7,"""s n a - g -""","""- g - i n g""","Simple edit score, Progressive alignment",67313,snag,2,s n a g g i n g,0 1 2 3 4 5 6 7,"""s n a - g -""","""- g - i n g""","Simple edit score, Progressive alignment with LCS"
67314,snag,3,s n a g s,0 1 2 4 10,"""s n a - g -""","""- s""","Simple edit score, Progressive alignment",67314,snag,3,s n a g s,0 1 2 4 10,"""s n a - g -""","""- s""","Simple edit score, Progressive alignment with LCS"
30773,give,0,g a v e,6 7 9 11,"""- g - v -""","""- a - e""","Simple edit score, Progressive alignment",30773,give,0,g a v e,6 7 9 11,"""- g - v -""","""- a - e""","Simple edit score, Progressive alignment with LCS"
30774,give,1,g i v e,6 8 9 11,"""- g - v -""","""- i - e""","Simple edit score, Progressive alignment",30774,give,1,g i v e,6 8 9 11,"""- g - v -""","""- i - e""","Simple edit score, Progressive alignment with LCS"
30775,give,2,g i v e n,6 8 9 11 14,"""- g - v -""","""- i - e n""","Simple edit score, Progressive alignment",30775,give,2,g i v e n,6 8 9 11 14,"""- g - v -""","""- i - e n""","Simple edit score, Progressive alignment with LCS"
30776,give,3,g i v e r,6 8 9 11 12,"""- g - v -""","""- i - e r""","Simple edit score, Progressive alignment",30776,give,3,g i v e r,6 8 9 11 12,"""- g - v -""","""- i - e r""","Simple edit score, Progressive alignment with LCS"
30777,give,4,g i v e r s,6 8 9 11 12 13,"""- g - v -""","""- i - e r s""","Simple edit score, Progressive alignment",30777,give,4,g i v e r s,6 8 9 11 12 13,"""- g - v -""","""- i - e r s""","Simple edit score, Progressive alignment with LCS"
30778,give,5,g i v e s,6 8 9 11 13,"""- g - v -""","""- i - e s""","Simple edit score, Progressive alignment",30778,give,5,g i v e s,6 8 9 11 13,"""- g - v -""","""- i - e s""","Simple edit score, Progressive alignment with LCS"
30779,give,6,g i v i n g,6 8 9 10 14 15,"""- g - v -""","""- i - i n g""","Simple edit score, Progressive alignment",30779,give,6,g i v i n g,6 8 9 10 14 15,"""- g - v -""","""- i - i n g""","Simple edit score, Progressive alignment with LCS"
30780,give,7,l a w - g i v e r,0 1 2 6 8 9 11 12,"""- g - v -""","""l a w - i - e r""","Simple edit score, Progressive alignment",30780,give,7,l a w - g i v e r,0 1 2 6 8 9 11 12,"""- g - v -""","""l a w - i - e r""","Simple edit score, Progressive alignment with LCS"
30781,give,8,l a w - g i v e r s,0 1 2 6 8 9 11 12 13,"""- g - v -""","""l a w - i - e r s""","Simple edit score, Progressive alignment",30781,give,8,l a w - g i v e r s,0 1 2 6 8 9 11 12 13,"""- g - v -""","""l a w - i - e r s""","Simple edit score, Progressive alignment with LCS"
30782,give,9,m i s g a v e,3 4 5 6 7 9 11,"""- g - v -""","""m i s - a - e""","Simple edit score, Progressive alignment",30782,give,9,m i s g a v e,3 4 5 6 7 9 11,"""- g - v -""","""m i s - a - e""","Simple edit score, Progressive alignment with LCS"
30783,give,10,m i s g i v e,3 4 5 6 8 9 11,"""- g - v -""","""m i s - i - e""","Simple edit score, Progressive alignment",30783,give,10,m i s g i v e,3 4 5 6 8 9 11,"""- g - v -""","""m i s - i - e""","Simple edit score, Progressive alignment with LCS"
30784,give,11,m i s g i v e n,3 4 5 6 8 9 11 14,"""- g - v -""","""m i s - i - e n""","Simple edit score, Progressive alignment",30784,give,11,m i s g i v e n,3 4 5 6 8 9 11 14,"""- g - v -""","""m i s - i - e n""","Simple edit score, Progressive alignment with LCS"
30785,give,12,m i s g i v e s,3 4 5 6 8 9 11 13,"""- g - v -""","""m i s - i - e s""","Simple edit score, Progressive alignment",30785,give,12,m i s g i v e s,3 4 5 6 8 9 11 13,"""- g - v -""","""m i s - i - e s""","Simple edit score, Progressive alignment with LCS"
30786,give,13,m i s g i v i n g,3 4 5 6 8 9 10 14 15,"""- g - v -""","""m i s - i - i n g""","Simple edit score, Progressive alignment",30786,give,13,m i s g i v i n g,3 4 5 6 8 9 10 14 15,"""- g - v -""","""m i s - i - i n g""","Simple edit score, Progressive alignment with LCS"
1400,Sassenach,0,S a s s e n a c h,0 1 2 3 4 5 6 7 8,"""S a s s e n a c h -""","""-""","Simple edit score, Progressive alignment",1400,Sassenach,0,S a s s e n a c h,0 1 2 3 4 5 6 7 8,"""S a s s e n a c h -""","""-""","Simple edit score, Progressive alignment with LCS"
1401,Sassenach,1,S a s s e n a c h s,0 1 2 3 4 5 6 7 8 9,"""S a s s e n a c h -""","""- s""","Simple edit score, Progressive alignment",1401,Sassenach,1,S a s s e n a c h s,0 1 2 3 4 5 6 7 8 9,"""S a s s e n a c h -""","""- s""","Simple edit score, Progressive alignment with LCS"
7625,blotch,0,b l o t c h,0 1 2 3 4 5,"""b l o t c h -""","""-""","Simple edit score, Progressive alignment",7625,blotch,0,b l o t c h,0 1 2 3 4 5,"""b l o t c h -""","""-""","Simple edit score, Progressive alignment with LCS"
7626,blotch,1,b l o t c h e s,0 1 2 3 4 5 8 10,"""b l o t c h -""","""- e s""","Simple edit score, Progressive alignment",7626,blotch,1,b l o t c h e s,0 1 2 3 4 5 8 10,"""b l o t c h -""","""- e s""","Simple edit score, Progressive alignment with LCS"
7627,blotch,2,b l o t c h i e r,0 1 2 3 4 5 7 8 9,"""b l o t c h -""","""- i e r""","Simple edit score, Progressive alignment",7627,blotch,2,b l o t c h i e r,0 1 2 3 4 5 7 8 9,"""b l o t c h -""","""- i e r""","Simple edit score, Progressive alignment with LCS"
7628,blotch,3,b l o t c h i e s t,0 1 2 3 4 5 7 8 10 11,"""b l o t c h -""","""- i e s t""","Simple edit score, Progressive alignment",7628,blotch,3,b l o t c h i e s t,0 1 2 3 4 5 7 8 10 11,"""b l o t c h -""","""- i e s t""","Simple edit score, Progressive alignment with LCS"
7629,blotch,4,b l o t c h y,0 1 2 3 4 5 6,"""b l o t c h -""","""- y""","Simple edit score, Progressive alignment",7629,blotch,4,b l o t c h y,0 1 2 3 4 5 6,"""b l o t c h -""","""- y""","Simple edit score, Progressive alignment with LCS"
36535,impulse,0,i m p u l s e,0 1 2 3 4 5 10,"""i m p u l s - e -""","""-""","Simple edit score, Progressive alignment",36535,impulse,0,i m p u l s e,0 1 2 3 4 5 10,"""i m p u l s - e -""","""-""","Simple edit score, Progressive alignment with LCS"
36536,impulse,1,i m p u l s e s,0 1 2 3 4 5 10 12,"""i m p u l s - e -""","""- s""","Simple edit score, Progressive alignment",36536,impulse,1,i m p u l s e s,0 1 2 3 4 5 10 12,"""i m p u l s - e -""","""- s""","Simple edit score, Progressive alignment with LCS"
36537,impulse,2,i m p u l s i v e,0 1 2 3 4 5 6 7 10,"""i m p u l s - e -""","""- i v -""","Simple edit score, Progressive alignment",36537,impulse,2,i m p u l s i v e,0 1 2 3 4 5 6 7 10,"""i m p u l s - e -""","""- i v -""","Simple edit score, Progressive alignment with LCS"
36538,impulse,3,i m p u l s i v e l y,0 1 2 3 4 5 6 7 10 13 14,"""i m p u l s - e -""","""- i v - l y""","Simple edit score, Progressive alignment",36538,impulse,3,i m p u l s i v e l y,0 1 2 3 4 5 6 7 10 13 14,"""i m p u l s - e -""","""- i v - l y""","Simple edit score, Progressive alignment with LCS"
36539,impulse,4,i m p u l s i v e n e s s,0 1 2 3 4 5 6 7 8 9 10 11 12,"""i m p u l s - e -""","""- i v e n - s s""","Simple edit score, Progressive alignment",36539,impulse,4,i m p u l s i v e n e s s,0 1 2 3 4 5 6 7 8 9 10 11 12,"""i m p u l s - e -""","""- i v e n - s s""","Simple edit score, Progressive alignment with LCS"
50514,pavane,0,p a v a n e,0 1 2 3 4 5,"""p a v a n e -""","""-""","Simple edit score, Progressive alignment",50514,pavane,0,p a v a n e,0 1 2 3 4 5,"""p a v a n e -""","""-""","Simple edit score, Progressive alignment with LCS"
50515,pavane,1,p a v a n e s,0 1 2 3 4 5 6,"""p a v a n e -""","""- s""","Simple edit score, Progressive alignment",50515,pavane,1,p a v a n e s,0 1 2 3 4 5 6,"""p a v a n e -""","""- s""","Simple edit score, Progressive alignment with LCS"
28885,franc,0,f r a n c,0 1 2 3 4,"""f r a n c -""","""-""","Simple edit score, Progressive alignment",28885,franc,0,f r a n c,0 1 2 3 4,"""f r a n c -""","""-""","Simple edit score, Progressive alignment with LCS"
28886,franc,1,f r a n c s,0 1 2 3 4 5,"""f r a n c -""","""- s""","Simple edit score, Progressive alignment",28886,franc,1,f r a n c s,0 1 2 3 4 5,"""f r a n c -""","""- s""","Simple edit score, Progressive alignment with LCS"
66924,slot,0,s l o t,0 1 2 4,"""s l o - t -""","""-""","Simple edit score, Progressive alignment",66924,slot,0,s l o t,0 1 2 4,"""s l o - t -""","""-""","Simple edit score, Progressive alignment with LCS"
66925,slot,1,s l o t - m a c h i n e,0 1 2 4 5 6 7 8 9 10 12,"""s l o - t -""","""- m a c h i n e""","Simple edit score, Progressive alignment",66925,slot,1,s l o t - m a c h i n e,0 1 2 4 5 6 7 8 9 10 12,"""s l o - t -""","""- m a c h i n e""","Simple edit score, Progressive alignment with LCS"
66926,slot,2,s l o t - m a c h i n e s,0 1 2 4 5 6 7 8 9 10 12 14,"""s l o - t -""","""- m a c h i n e s""","Simple edit score, Progressive alignment",66926,slot,2,s l o t - m a c h i n e s,0 1 2 4 5 6 7 8 9 10 12 14,"""s l o - t -""","""- m a c h i n e s""","Simple edit score, Progressive alignment with LCS"
66927,slot,3,s l o t s,0 1 2 4 14,"""s l o - t -""","""- s""","Simple edit score, Progressive alignment",66927,slot,3,s l o t s,0 1 2 4 14,"""s l o - t -""","""- s""","Simple edit score, Progressive alignment with LCS"
66928,slot,4,s l o t t e d,0 1 2 3 4 12 13,"""s l o - t -""","""- t - e d""","Simple edit score, Progressive alignment",66928,slot,4,s l o t t e d,0 1 2 3 4 12 13,"""s l o - t -""","""- t - e d""","Simple edit score, Progressive alignment with LCS"
66929,slot,5,s l o t t i n g,0 1 2 3 4 9 10 11,"""s l o - t -""","""- t - i n g""","Simple edit score, Progressive alignment",66929,slot,5,s l o t t i n g,0 1 2 3 4 9 10 11,"""s l o - t -""","""- t - i n g""","Simple edit score, Progressive alignment with LCS"
64768,shoot at,0,s h o o t _ a t,0 1 2 3 4 9 10 11,"""s h o - t - _ a t""","""- o -""","Simple edit score, Progressive alignment",64768,shoot at,0,s h o o t _ a t,0 1 2 3 4 9 10 11,"""s h o - t - _ a t""","""- o -""","Simple edit score, Progressive alignment with LCS"
64769,shoot at,1,s h o o t i n g _ a t,0 1 2 3 4 5 6 7 9 10 11,"""s h o - t - _ a t""","""- o - i n g -""","Simple edit score, Progressive alignment",64769,shoot at,1,s h o o t i n g _ a t,0 1 2 3 4 5 6 7 9 10 11,"""s h o - t - _ a t""","""- o - i n g -""","Simple edit score, Progressive alignment with LCS"
64770,shoot at,2,s h o o t s _ a t,0 1 2 3 4 8 9 10 11,"""s h o - t - _ a t""","""- o - s -""","Simple edit score, Progressive alignment",64770,shoot at,2,s h o o t s _ a t,0 1 2 3 4 8 9 10 11,"""s h o - t - _ a t""","""- o - s -""","Simple edit score, Progressive alignment with LCS"
64771,shoot at,3,s h o t _ a t,0 1 2 4 9 10 11,"""s h o - t - _ a t""","""-""","Simple edit score, Progressive alignment",64771,shoot at,3,s h o t _ a t,0 1 2 4 9 10 11,"""s h o - t - _ a t""","""-""","Simple edit score, Progressive alignment with LCS"
18730,cry up,0,c r i e d _ u p,0 1 3 4 5 9 10 11,"""c r - _ u p""","""- i e d -""","Simple edit score, Progressive alignment",18730,cry up,0,c r i e d _ u p,0 1 3 4 5 9 10 11,"""c r - _ u p""","""- i e d -""","Simple edit score, Progressive alignment with LCS"
18731,cry up,1,c r i e s _ u p,0 1 3 4 6 9 10 11,"""c r - _ u p""","""- i e s -""","Simple edit score, Progressive alignment",18731,cry up,1,c r i e s _ u p,0 1 3 4 6 9 10 11,"""c r - _ u p""","""- i e s -""","Simple edit score, Progressive alignment with LCS"
18732,cry up,2,c r y _ u p,0 1 2 9 10 11,"""c r - _ u p""","""- y -""","Simple edit score, Progressive alignment",18732,cry up,2,c r y _ u p,0 1 2 9 10 11,"""c r - _ u p""","""- y -""","Simple edit score, Progressive alignment with LCS"
18733,cry up,3,c r y i n g _ u p,0 1 2 3 7 8 9 10 11,"""c r - _ u p""","""- y i n g -""","Simple edit score, Progressive alignment",18733,cry up,3,c r y i n g _ u p,0 1 2 3 7 8 9 10 11,"""c r - _ u p""","""- y i n g -""","Simple edit score, Progressive alignment with LCS"
21334,dispose of,0,d i s p o s e _ o f,0 1 2 3 4 5 9 12 13 14,"""d i s p o s - _ o f""","""- e -""","Simple edit score, Progressive alignment",21334,dispose of,0,d i s p o s e _ o f,0 1 2 3 4 5 9 12 13 14,"""d i s p o s - _ o f""","""- e -""","Simple edit score, Progressive alignment with LCS"
21335,dispose of,1,d i s p o s e d _ o f,0 1 2 3 4 5 9 11 12 13 14,"""d i s p o s - _ o f""","""- e d -""","Simple edit score, Progressive alignment",21335,dispose of,1,d i s p o s e d _ o f,0 1 2 3 4 5 9 11 12 13 14,"""d i s p o s - _ o f""","""- e d -""","Simple edit score, Progressive alignment with LCS"
21336,dispose of,2,d i s p o s e s _ o f,0 1 2 3 4 5 9 10 12 13 14,"""d i s p o s - _ o f""","""- e s -""","Simple edit score, Progressive alignment",21336,dispose of,2,d i s p o s e s _ o f,0 1 2 3 4 5 9 10 12 13 14,"""d i s p o s - _ o f""","""- e s -""","Simple edit score, Progressive alignment with LCS"
21337,dispose of,3,d i s p o s i n g _ o f,0 1 2 3 4 5 6 7 8 12 13 14,"""d i s p o s - _ o f""","""- i n g -""","Simple edit score, Progressive alignment",21337,dispose of,3,d i s p o s i n g _ o f,0 1 2 3 4 5 6 7 8 12 13 14,"""d i s p o s - _ o f""","""- i n g -""","Simple edit score, Progressive alignment with LCS"
69555,squirm,0,s q u i r m,0 1 2 3 4 5,"""s q u i r m -""","""-""","Simple edit score, Progressive alignment",69555,squirm,0,s q u i r m,0 1 2 3 4 5,"""s q u i r m -""","""-""","Simple edit score, Progressive alignment with LCS"
69556,squirm,1,s q u i r m e d,0 1 2 3 4 5 9 10,"""s q u i r m -""","""- e d""","Simple edit score, Progressive alignment",69556,squirm,1,s q u i r m e d,0 1 2 3 4 5 9 10,"""s q u i r m -""","""- e d""","Simple edit score, Progressive alignment with LCS"
69557,squirm,2,s q u i r m i n g,0 1 2 3 4 5 6 7 8,"""s q u i r m -""","""- i n g""","Simple edit score, Progressive alignment",69557,squirm,2,s q u i r m i n g,0 1 2 3 4 5 6 7 8,"""s q u i r m -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
69558,squirm,3,s q u i r m s,0 1 2 3 4 5 11,"""s q u i r m -""","""- s""","Simple edit score, Progressive alignment",69558,squirm,3,s q u i r m s,0 1 2 3 4 5 11,"""s q u i r m -""","""- s""","Simple edit score, Progressive alignment with LCS"
12870,chase about,0,c h a s e _ a b o u t,0 1 2 3 7 10 11 12 13 14 15,"""c h a s - _ a b o u t""","""- e -""","Simple edit score, Progressive alignment",12870,chase about,0,c h a s e _ a b o u t,0 1 2 3 7 10 11 12 13 14 15,"""c h a s - _ a b o u t""","""- e -""","Simple edit score, Progressive alignment with LCS"
12871,chase about,1,c h a s e d _ a b o u t,0 1 2 3 7 9 10 11 12 13 14 15,"""c h a s - _ a b o u t""","""- e d -""","Simple edit score, Progressive alignment",12871,chase about,1,c h a s e d _ a b o u t,0 1 2 3 7 9 10 11 12 13 14 15,"""c h a s - _ a b o u t""","""- e d -""","Simple edit score, Progressive alignment with LCS"
12872,chase about,2,c h a s e s _ a b o u t,0 1 2 3 7 8 10 11 12 13 14 15,"""c h a s - _ a b o u t""","""- e s -""","Simple edit score, Progressive alignment",12872,chase about,2,c h a s e s _ a b o u t,0 1 2 3 7 8 10 11 12 13 14 15,"""c h a s - _ a b o u t""","""- e s -""","Simple edit score, Progressive alignment with LCS"
12873,chase about,3,c h a s i n g _ a b o u t,0 1 2 3 4 5 6 10 11 12 13 14 15,"""c h a s - _ a b o u t""","""- i n g -""","Simple edit score, Progressive alignment",12873,chase about,3,c h a s i n g _ a b o u t,0 1 2 3 4 5 6 10 11 12 13 14 15,"""c h a s - _ a b o u t""","""- i n g -""","Simple edit score, Progressive alignment with LCS"
45057,mixed up,0,m i x e d - u p,0 1 2 3 4 6 7,"""m i x e d - u p""","""-""","Simple edit score, Progressive alignment",45057,mixed up,0,m i x e d - u p,0 1 2 3 4 6 7,"""m i x e d - u p""","""-""","Simple edit score, Progressive alignment with LCS"
49139,overjoyed,0,o v e r j o y e d,0 1 2 3 4 5 6 7 8,"""o v e r j o y e d""","""-""","Simple edit score, Progressive alignment",49139,overjoyed,0,o v e r j o y e d,0 1 2 3 4 5 6 7 8,"""o v e r j o y e d""","""-""","Simple edit score, Progressive alignment with LCS"
3861,arrack,0,a r r a c k,0 1 2 3 4 5,"""a r r a c k""","""-""","Simple edit score, Progressive alignment",3861,arrack,0,a r r a c k,0 1 2 3 4 5,"""a r r a c k""","""-""","Simple edit score, Progressive alignment with LCS"
8302,booby hatch,0,b o o b y _ h a t c h,0 1 2 3 4 5 6 7 8 9 10,"""b o o b y _ h a t c h -""","""-""","Simple edit score, Progressive alignment",8302,booby hatch,0,b o o b y _ h a t c h,0 1 2 3 4 5 6 7 8 9 10,"""b o o b y _ h a t c h -""","""-""","Simple edit score, Progressive alignment with LCS"
8303,booby hatch,1,b o o b y _ h a t c h e s,0 1 2 3 4 5 6 7 8 9 10 11 12,"""b o o b y _ h a t c h -""","""- e s""","Simple edit score, Progressive alignment",8303,booby hatch,1,b o o b y _ h a t c h e s,0 1 2 3 4 5 6 7 8 9 10 11 12,"""b o o b y _ h a t c h -""","""- e s""","Simple edit score, Progressive alignment with LCS"
2853,alabaster,0,a l a b a s t e r,0 1 2 3 4 5 6 7 8,"""a l a b a s t e r""","""-""","Simple edit score, Progressive alignment",2853,alabaster,0,a l a b a s t e r,0 1 2 3 4 5 6 7 8,"""a l a b a s t e r""","""-""","Simple edit score, Progressive alignment with LCS"
8952,brass band,0,b r a s s _ b a n d,0 1 2 3 4 5 6 7 8 9,"""b r a s s _ b a n d -""","""-""","Simple edit score, Progressive alignment",8952,brass band,0,b r a s s _ b a n d,0 1 2 3 4 5 6 7 8 9,"""b r a s s _ b a n d -""","""-""","Simple edit score, Progressive alignment with LCS"
8953,brass band,1,b r a s s _ b a n d s,0 1 2 3 4 5 6 7 8 9 10,"""b r a s s _ b a n d -""","""- s""","Simple edit score, Progressive alignment",8953,brass band,1,b r a s s _ b a n d s,0 1 2 3 4 5 6 7 8 9 10,"""b r a s s _ b a n d -""","""- s""","Simple edit score, Progressive alignment with LCS"
10383,burn up,0,b u r n _ u p,0 1 2 5 11 12 13,"""b u r - n - u p -""","""- _ -""","Simple edit score, Progressive alignment",10383,burn up,0,b u r n _ u p,0 1 2 5 11 12 13,"""b u r - n - u p -""","""- _ -""","Simple edit score, Progressive alignment with LCS"
