index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
64033,sex,16,s e x i n g,11 13 14 15 16 20,"""- s - e x -""","""- i n g""","Simple edit score, Progressive alignment",64033,sex,16,s e x i n g,11 13 14 15 16 20,"""- s - e x -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
64034,sex,17,s e x i s m,11 13 14 24 26 27,"""- s - e x -""","""- i s m""","Simple edit score, Progressive alignment",64034,sex,17,s e x i s m,11 13 14 24 26 27,"""- s - e x -""","""- i s m""","Simple edit score, Progressive alignment with LCS"
64035,sex,18,s e x l e s s,11 13 14 21 22 23 26,"""- s - e x -""","""- l e s s""","Simple edit score, Progressive alignment",64035,sex,18,s e x l e s s,11 13 14 21 22 23 26,"""- s - e x -""","""- l e s s""","Simple edit score, Progressive alignment with LCS"
64036,sex,19,s e x u a l,11 13 14 17 18 21,"""- s - e x -""","""- u a l""","Simple edit score, Progressive alignment",64036,sex,19,s e x u a l,11 13 14 17 18 21,"""- s - e x -""","""- u a l""","Simple edit score, Progressive alignment with LCS"
64037,sex,20,s e x u a l i t y,11 13 14 17 18 21 24 27 28,"""- s - e x -""","""- u a l i t y""","Simple edit score, Progressive alignment",64037,sex,20,s e x u a l i t y,11 13 14 17 18 21 24 27 28,"""- s - e x -""","""- u a l i t y""","Simple edit score, Progressive alignment with LCS"
64038,sex,21,s e x u a l l y,11 13 14 17 18 19 21 28,"""- s - e x -""","""- u a l l y""","Simple edit score, Progressive alignment",64038,sex,21,s e x u a l l y,11 13 14 17 18 19 21 28,"""- s - e x -""","""- u a l l y""","Simple edit score, Progressive alignment with LCS"
64039,sex,22,s e x y,11 13 14 28,"""- s - e x -""","""- y""","Simple edit score, Progressive alignment",64039,sex,22,s e x y,11 13 14 28,"""- s - e x -""","""- y""","Simple edit score, Progressive alignment with LCS"
64040,sex,23,t r a n s s e x u a l,4 6 9 10 11 12 13 14 17 18 21,"""- s - e x -""","""t r a n - s - u a l""","Simple edit score, Progressive alignment",64040,sex,23,t r a n s s e x u a l,4 6 9 10 11 12 13 14 17 18 21,"""- s - e x -""","""t r a n - s - u a l""","Simple edit score, Progressive alignment with LCS"
64041,sex,24,t r a n s s e x u a l s,4 6 9 10 11 12 13 14 17 18 21 26,"""- s - e x -""","""t r a n - s - u a l s""","Simple edit score, Progressive alignment",64041,sex,24,t r a n s s e x u a l s,4 6 9 10 11 12 13 14 17 18 21 26,"""- s - e x -""","""t r a n - s - u a l s""","Simple edit score, Progressive alignment with LCS"
64042,sex,25,u n d e r s e x e d,0 1 2 3 6 11 13 14 22 25,"""- s - e x -""","""u n d e r - e d""","Simple edit score, Progressive alignment",64042,sex,25,u n d e r s e x e d,0 1 2 3 6 11 13 14 22 25,"""- s - e x -""","""u n d e r - e d""","Simple edit score, Progressive alignment with LCS"
64043,sex,26,u n i s e x,0 1 8 11 13 14,"""- s - e x -""","""u n i -""","Simple edit score, Progressive alignment",64043,sex,26,u n i s e x,0 1 8 11 13 14,"""- s - e x -""","""u n i -""","Simple edit score, Progressive alignment with LCS"
64044,sex,27,u n s e x,0 1 11 13 14,"""- s - e x -""","""u n -""","Simple edit score, Progressive alignment",64044,sex,27,u n s e x,0 1 11 13 14,"""- s - e x -""","""u n -""","Simple edit score, Progressive alignment with LCS"
64045,sex,28,u n s e x e d,0 1 11 13 14 22 25,"""- s - e x -""","""u n - e d""","Simple edit score, Progressive alignment",64045,sex,28,u n s e x e d,0 1 11 13 14 22 25,"""- s - e x -""","""u n - e d""","Simple edit score, Progressive alignment with LCS"
64046,sex,29,u n s e x e s,0 1 11 13 14 22 26,"""- s - e x -""","""u n - e s""","Simple edit score, Progressive alignment",64046,sex,29,u n s e x e s,0 1 11 13 14 22 26,"""- s - e x -""","""u n - e s""","Simple edit score, Progressive alignment with LCS"
64047,sex,30,u n s e x i n g,0 1 11 13 14 15 16 20,"""- s - e x -""","""u n - i n g""","Simple edit score, Progressive alignment",64047,sex,30,u n s e x i n g,0 1 11 13 14 15 16 20,"""- s - e x -""","""u n - i n g""","Simple edit score, Progressive alignment with LCS"
24952,expectation of life,0,e x p e c t a t i o n _ o f _ l i f e,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19,"""e x p e c t a t i o n - _ o f _ l i f e""","""-""","Simple edit score, Progressive alignment",24952,expectation of life,0,e x p e c t a t i o n _ o f _ l i f e,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19,"""e x p e c t a t i o n - _ o f _ l i f e""","""-""","Simple edit score, Progressive alignment with LCS"
24953,expectation of life,1,e x p e c t a t i o n s _ o f _ l i f e,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19,"""e x p e c t a t i o n - _ o f _ l i f e""","""- s -""","Simple edit score, Progressive alignment",24953,expectation of life,1,e x p e c t a t i o n s _ o f _ l i f e,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19,"""e x p e c t a t i o n - _ o f _ l i f e""","""- s -""","Simple edit score, Progressive alignment with LCS"
13262,chimpanzee,0,c h i m p a n z e e,0 1 2 3 4 5 6 7 8 9,"""c h i m p a n z e e -""","""-""","Simple edit score, Progressive alignment",13262,chimpanzee,0,c h i m p a n z e e,0 1 2 3 4 5 6 7 8 9,"""c h i m p a n z e e -""","""-""","Simple edit score, Progressive alignment with LCS"
13263,chimpanzee,1,c h i m p a n z e e s,0 1 2 3 4 5 6 7 8 9 10,"""c h i m p a n z e e -""","""- s""","Simple edit score, Progressive alignment",13263,chimpanzee,1,c h i m p a n z e e s,0 1 2 3 4 5 6 7 8 9 10,"""c h i m p a n z e e -""","""- s""","Simple edit score, Progressive alignment with LCS"
80930,who,0,w h o,0 1 2,"""w h o -""","""-""","Simple edit score, Progressive alignment",80930,who,0,w h o,0 1 2,"""w h o -""","""-""","Simple edit score, Progressive alignment with LCS"
80931,who,1,w h o ' d,0 1 2 3 9,"""w h o -""","""- ' d""","Simple edit score, Progressive alignment",80931,who,1,w h o ' d,0 1 2 3 9,"""w h o -""","""- ' d""","Simple edit score, Progressive alignment with LCS"
80932,who,2,w h o ' l l,0 1 2 3 4 5,"""w h o -""","""- ' l l""","Simple edit score, Progressive alignment",80932,who,2,w h o ' l l,0 1 2 3 4 5,"""w h o -""","""- ' l l""","Simple edit score, Progressive alignment with LCS"
80933,who,3,w h o ' r e,0 1 2 3 9 11,"""w h o -""","""- ' r e""","Simple edit score, Progressive alignment",80933,who,3,w h o ' r e,0 1 2 3 9 11,"""w h o -""","""- ' r e""","Simple edit score, Progressive alignment with LCS"
80934,who,4,w h o ' s,0 1 2 3 6,"""w h o -""","""- ' s""","Simple edit score, Progressive alignment",80934,who,4,w h o ' s,0 1 2 3 6,"""w h o -""","""- ' s""","Simple edit score, Progressive alignment with LCS"
80935,who,5,w h o ' v e,0 1 2 3 10 11,"""w h o -""","""- ' v e""","Simple edit score, Progressive alignment",80935,who,5,w h o ' v e,0 1 2 3 10 11,"""w h o -""","""- ' v e""","Simple edit score, Progressive alignment with LCS"
80936,who,6,w h o e v e r,0 1 2 8 10 11 12,"""w h o -""","""- e v e r""","Simple edit score, Progressive alignment",80936,who,6,w h o e v e r,0 1 2 8 10 11 12,"""w h o -""","""- e v e r""","Simple edit score, Progressive alignment with LCS"
80937,who,7,w h o s o,0 1 2 6 7,"""w h o -""","""- s o""","Simple edit score, Progressive alignment",80937,who,7,w h o s o,0 1 2 6 7,"""w h o -""","""- s o""","Simple edit score, Progressive alignment with LCS"
80938,who,8,w h o s o e v e r,0 1 2 6 7 8 10 11 12,"""w h o -""","""- s o e v e r""","Simple edit score, Progressive alignment",80938,who,8,w h o s o e v e r,0 1 2 6 7 8 10 11 12,"""w h o -""","""- s o e v e r""","Simple edit score, Progressive alignment with LCS"
13484,chum,0,c h u m,0 1 2 4,"""c h u - m -""","""-""","Simple edit score, Progressive alignment",13484,chum,0,c h u m,0 1 2 4,"""c h u - m -""","""-""","Simple edit score, Progressive alignment with LCS"
13485,chum,1,c h u m m e d,0 1 2 3 4 9 12,"""c h u - m -""","""- m - e d""","Simple edit score, Progressive alignment",13485,chum,1,c h u m m e d,0 1 2 3 4 9 12,"""c h u - m -""","""- m - e d""","Simple edit score, Progressive alignment with LCS"
13486,chum,2,c h u m m i e r,0 1 2 3 4 6 9 13,"""c h u - m -""","""- m - i e r""","Simple edit score, Progressive alignment",13486,chum,2,c h u m m i e r,0 1 2 3 4 6 9 13,"""c h u - m -""","""- m - i e r""","Simple edit score, Progressive alignment with LCS"
13487,chum,3,c h u m m i e s t,0 1 2 3 4 6 9 10 11,"""c h u - m -""","""- m - i e s t""","Simple edit score, Progressive alignment",13487,chum,3,c h u m m i e s t,0 1 2 3 4 6 9 10 11,"""c h u - m -""","""- m - i e s t""","Simple edit score, Progressive alignment with LCS"
13488,chum,4,c h u m m i n g,0 1 2 3 4 6 7 8,"""c h u - m -""","""- m - i n g""","Simple edit score, Progressive alignment",13488,chum,4,c h u m m i n g,0 1 2 3 4 6 7 8,"""c h u - m -""","""- m - i n g""","Simple edit score, Progressive alignment with LCS"
13489,chum,5,c h u m m y,0 1 2 3 4 5,"""c h u - m -""","""- m - y""","Simple edit score, Progressive alignment",13489,chum,5,c h u m m y,0 1 2 3 4 5,"""c h u - m -""","""- m - y""","Simple edit score, Progressive alignment with LCS"
13490,chum,6,c h u m s,0 1 2 4 10,"""c h u - m -""","""- s""","Simple edit score, Progressive alignment",13490,chum,6,c h u m s,0 1 2 4 10,"""c h u - m -""","""- s""","Simple edit score, Progressive alignment with LCS"
610,Greenwich Mean Time,0,G r e e n w i c h _ M e a n _ T i m e,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,"""G r e e n w i c h _ M e a n _ T i m e""","""-""","Simple edit score, Progressive alignment",610,Greenwich Mean Time,0,G r e e n w i c h _ M e a n _ T i m e,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,"""G r e e n w i c h _ M e a n _ T i m e""","""-""","Simple edit score, Progressive alignment with LCS"
15371,come forward,0,c a m e _ f o r w a r d,0 1 3 7 9 10 11 12 13 14 15 16,"""c - m - _ f o r w a r d""","""- a - e -""","Simple edit score, Progressive alignment",15371,come forward,0,c a m e _ f o r w a r d,0 1 3 7 9 10 11 12 13 14 15 16,"""c - m - _ f o r w a r d""","""- a - e -""","Simple edit score, Progressive alignment with LCS"
15372,come forward,1,c o m e _ f o r w a r d,0 2 3 7 9 10 11 12 13 14 15 16,"""c - m - _ f o r w a r d""","""- o - e -""","Simple edit score, Progressive alignment",15372,come forward,1,c o m e _ f o r w a r d,0 2 3 7 9 10 11 12 13 14 15 16,"""c - m - _ f o r w a r d""","""- o - e -""","Simple edit score, Progressive alignment with LCS"
15373,come forward,2,c o m e s _ f o r w a r d,0 2 3 7 8 9 10 11 12 13 14 15 16,"""c - m - _ f o r w a r d""","""- o - e s -""","Simple edit score, Progressive alignment",15373,come forward,2,c o m e s _ f o r w a r d,0 2 3 7 8 9 10 11 12 13 14 15 16,"""c - m - _ f o r w a r d""","""- o - e s -""","Simple edit score, Progressive alignment with LCS"
15374,come forward,3,c o m i n g _ f o r w a r d,0 2 3 4 5 6 9 10 11 12 13 14 15 16,"""c - m - _ f o r w a r d""","""- o - i n g -""","Simple edit score, Progressive alignment",15374,come forward,3,c o m i n g _ f o r w a r d,0 2 3 4 5 6 9 10 11 12 13 14 15 16,"""c - m - _ f o r w a r d""","""- o - i n g -""","Simple edit score, Progressive alignment with LCS"
9863,bucket seat,0,b u c k e t _ s e a t,0 1 2 3 4 5 6 7 8 9 10,"""b u c k e t _ s e a t -""","""-""","Simple edit score, Progressive alignment",9863,bucket seat,0,b u c k e t _ s e a t,0 1 2 3 4 5 6 7 8 9 10,"""b u c k e t _ s e a t -""","""-""","Simple edit score, Progressive alignment with LCS"
9864,bucket seat,1,b u c k e t _ s e a t s,0 1 2 3 4 5 6 7 8 9 10 11,"""b u c k e t _ s e a t -""","""- s""","Simple edit score, Progressive alignment",9864,bucket seat,1,b u c k e t _ s e a t s,0 1 2 3 4 5 6 7 8 9 10 11,"""b u c k e t _ s e a t -""","""- s""","Simple edit score, Progressive alignment with LCS"
54616,pregnancy test,0,p r e g n a n c y _ t e s t,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""p r e g n a n c y _ t e s t -""","""-""","Simple edit score, Progressive alignment",54616,pregnancy test,0,p r e g n a n c y _ t e s t,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""p r e g n a n c y _ t e s t -""","""-""","Simple edit score, Progressive alignment with LCS"
54617,pregnancy test,1,p r e g n a n c y _ t e s t s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""p r e g n a n c y _ t e s t -""","""- s""","Simple edit score, Progressive alignment",54617,pregnancy test,1,p r e g n a n c y _ t e s t s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""p r e g n a n c y _ t e s t -""","""- s""","Simple edit score, Progressive alignment with LCS"
25006,exposition,0,e x p o,0 1 2 3,"""e x p o -""","""-""","Simple edit score, Progressive alignment",25006,exposition,0,e x p o,0 1 2 3,"""e x p o -""","""-""","Simple edit score, Progressive alignment with LCS"
25007,exposition,1,e x p o s,0 1 2 3 4,"""e x p o -""","""- s""","Simple edit score, Progressive alignment",25007,exposition,1,e x p o s,0 1 2 3 4,"""e x p o -""","""- s""","Simple edit score, Progressive alignment with LCS"
24584,essential,0,e s s e n t i a l,2 3 4 5 6 7 8 9 11,"""- e s s e n t i a - l -""","""-""","Simple edit score, Progressive alignment",24584,essential,0,e s s e n t i a l,2 3 4 5 6 7 8 9 11,"""- e s s e n t i a - l -""","""-""","Simple edit score, Progressive alignment with LCS"
24585,essential,1,e s s e n t i a l l y,2 3 4 5 6 7 8 9 10 11 12,"""- e s s e n t i a - l -""","""- l - y""","Simple edit score, Progressive alignment",24585,essential,1,e s s e n t i a l l y,2 3 4 5 6 7 8 9 10 11 12,"""- e s s e n t i a - l -""","""- l - y""","Simple edit score, Progressive alignment with LCS"
24586,essential,2,e s s e n t i a l s,2 3 4 5 6 7 8 9 11 13,"""- e s s e n t i a - l -""","""- s""","Simple edit score, Progressive alignment",24586,essential,2,e s s e n t i a l s,2 3 4 5 6 7 8 9 11 13,"""- e s s e n t i a - l -""","""- s""","Simple edit score, Progressive alignment with LCS"
24587,essential,3,i n e s s e n t i a l,0 1 2 3 4 5 6 7 8 9 11,"""- e s s e n t i a - l -""","""i n -""","Simple edit score, Progressive alignment",24587,essential,3,i n e s s e n t i a l,0 1 2 3 4 5 6 7 8 9 11,"""- e s s e n t i a - l -""","""i n -""","Simple edit score, Progressive alignment with LCS"
24588,essential,4,i n e s s e n t i a l s,0 1 2 3 4 5 6 7 8 9 11 13,"""- e s s e n t i a - l -""","""i n - s""","Simple edit score, Progressive alignment",24588,essential,4,i n e s s e n t i a l s,0 1 2 3 4 5 6 7 8 9 11 13,"""- e s s e n t i a - l -""","""i n - s""","Simple edit score, Progressive alignment with LCS"
40207,leech,0,l e e c h,0 1 2 3 4,"""l e e c h -""","""-""","Simple edit score, Progressive alignment",40207,leech,0,l e e c h,0 1 2 3 4,"""l e e c h -""","""-""","Simple edit score, Progressive alignment with LCS"
40208,leech,1,l e e c h e s,0 1 2 3 4 5 6,"""l e e c h -""","""- e s""","Simple edit score, Progressive alignment",40208,leech,1,l e e c h e s,0 1 2 3 4 5 6,"""l e e c h -""","""- e s""","Simple edit score, Progressive alignment with LCS"
13720,civvy street,0,c i v v y _ s t r e e t,0 1 2 3 4 5 6 7 8 9 10 11,"""c i v v y _ s t r e e t""","""-""","Simple edit score, Progressive alignment",13720,civvy street,0,c i v v y _ s t r e e t,0 1 2 3 4 5 6 7 8 9 10 11,"""c i v v y _ s t r e e t""","""-""","Simple edit score, Progressive alignment with LCS"
20951,dimensions,0,d i m e n s i o n s,0 1 2 3 4 5 6 7 8 9,"""d i m e n s i o n s""","""-""","Simple edit score, Progressive alignment",20951,dimensions,0,d i m e n s i o n s,0 1 2 3 4 5 6 7 8 9,"""d i m e n s i o n s""","""-""","Simple edit score, Progressive alignment with LCS"
4686,back crawl,0,b a c k _ c r a w l,0 1 2 3 4 5 6 7 8 9,"""b a c k _ c r a w l""","""-""","Simple edit score, Progressive alignment",4686,back crawl,0,b a c k _ c r a w l,0 1 2 3 4 5 6 7 8 9,"""b a c k _ c r a w l""","""-""","Simple edit score, Progressive alignment with LCS"
28687,foul play,0,f o u l _ p l a y,0 1 2 3 4 5 6 7 8,"""f o u l _ p l a y""","""-""","Simple edit score, Progressive alignment",28687,foul play,0,f o u l _ p l a y,0 1 2 3 4 5 6 7 8,"""f o u l _ p l a y""","""-""","Simple edit score, Progressive alignment with LCS"
26310,fib,0,f i b,0 1 3,"""f i - b -""","""-""","Simple edit score, Progressive alignment",26310,fib,0,f i b,0 1 3,"""f i - b -""","""-""","Simple edit score, Progressive alignment with LCS"
26311,fib,1,f i b b e d,0 1 2 3 7 8,"""f i - b -""","""- b - e d""","Simple edit score, Progressive alignment",26311,fib,1,f i b b e d,0 1 2 3 7 8,"""f i - b -""","""- b - e d""","Simple edit score, Progressive alignment with LCS"
26312,fib,2,f i b b e r,0 1 2 3 7 9,"""f i - b -""","""- b - e r""","Simple edit score, Progressive alignment",26312,fib,2,f i b b e r,0 1 2 3 7 9,"""f i - b -""","""- b - e r""","Simple edit score, Progressive alignment with LCS"
26313,fib,3,f i b b e r s,0 1 2 3 7 9 10,"""f i - b -""","""- b - e r s""","Simple edit score, Progressive alignment",26313,fib,3,f i b b e r s,0 1 2 3 7 9 10,"""f i - b -""","""- b - e r s""","Simple edit score, Progressive alignment with LCS"
26314,fib,4,f i b b i n g,0 1 2 3 4 5 6,"""f i - b -""","""- b - i n g""","Simple edit score, Progressive alignment",26314,fib,4,f i b b i n g,0 1 2 3 4 5 6,"""f i - b -""","""- b - i n g""","Simple edit score, Progressive alignment with LCS"
26315,fib,5,f i b s,0 1 3 10,"""f i - b -""","""- s""","Simple edit score, Progressive alignment",26315,fib,5,f i b s,0 1 3 10,"""f i - b -""","""- s""","Simple edit score, Progressive alignment with LCS"
60827,round-arm,0,r o u n d - a r m,0 1 2 3 4 6 7 8,"""r o u n d - a r m""","""-""","Simple edit score, Progressive alignment",60827,round-arm,0,r o u n d - a r m,0 1 2 3 4 6 7 8,"""r o u n d - a r m""","""-""","Simple edit score, Progressive alignment with LCS"
72687,swath,0,s w a t h,0 1 2 3 4,"""s w a t h -""","""-""","Simple edit score, Progressive alignment",72687,swath,0,s w a t h,0 1 2 3 4,"""s w a t h -""","""-""","Simple edit score, Progressive alignment with LCS"
72688,swath,1,s w a t h e,0 1 2 3 4 8,"""s w a t h -""","""- e""","Simple edit score, Progressive alignment",72688,swath,1,s w a t h e,0 1 2 3 4 8,"""s w a t h -""","""- e""","Simple edit score, Progressive alignment with LCS"
72689,swath,2,s w a t h e d,0 1 2 3 4 8 10,"""s w a t h -""","""- e d""","Simple edit score, Progressive alignment",72689,swath,2,s w a t h e d,0 1 2 3 4 8 10,"""s w a t h -""","""- e d""","Simple edit score, Progressive alignment with LCS"
72690,swath,3,s w a t h e s,0 1 2 3 4 8 9,"""s w a t h -""","""- e s""","Simple edit score, Progressive alignment",72690,swath,3,s w a t h e s,0 1 2 3 4 8 9,"""s w a t h -""","""- e s""","Simple edit score, Progressive alignment with LCS"
72691,swath,4,s w a t h i n g,0 1 2 3 4 5 6 7,"""s w a t h -""","""- i n g""","Simple edit score, Progressive alignment",72691,swath,4,s w a t h i n g,0 1 2 3 4 5 6 7,"""s w a t h -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
72692,swath,5,s w a t h s,0 1 2 3 4 9,"""s w a t h -""","""- s""","Simple edit score, Progressive alignment",72692,swath,5,s w a t h s,0 1 2 3 4 9,"""s w a t h -""","""- s""","Simple edit score, Progressive alignment with LCS"
75159,thumb,0,t h u m b,0 1 2 3 4,"""t h u m b -""","""-""","Simple edit score, Progressive alignment",75159,thumb,0,t h u m b,0 1 2 3 4,"""t h u m b -""","""-""","Simple edit score, Progressive alignment with LCS"
75160,thumb,1,t h u m b - n u t,0 1 2 3 4 6 8 9,"""t h u m b -""","""- n u t""","Simple edit score, Progressive alignment",75160,thumb,1,t h u m b - n u t,0 1 2 3 4 6 8 9,"""t h u m b -""","""- n u t""","Simple edit score, Progressive alignment with LCS"
75161,thumb,2,t h u m b - n u t s,0 1 2 3 4 6 8 9 19,"""t h u m b -""","""- n u t s""","Simple edit score, Progressive alignment",75161,thumb,2,t h u m b - n u t s,0 1 2 3 4 6 8 9 19,"""t h u m b -""","""- n u t s""","Simple edit score, Progressive alignment with LCS"
75162,thumb,3,t h u m b - s t a l l,0 1 2 3 4 7 9 10 12 13,"""t h u m b -""","""- s t a l l""","Simple edit score, Progressive alignment",75162,thumb,3,t h u m b - s t a l l,0 1 2 3 4 7 9 10 12 13,"""t h u m b -""","""- s t a l l""","Simple edit score, Progressive alignment with LCS"
75163,thumb,4,t h u m b - s t a l l s,0 1 2 3 4 7 9 10 12 13 19,"""t h u m b -""","""- s t a l l s""","Simple edit score, Progressive alignment",75163,thumb,4,t h u m b - s t a l l s,0 1 2 3 4 7 9 10 12 13 19,"""t h u m b -""","""- s t a l l s""","Simple edit score, Progressive alignment with LCS"
75164,thumb,5,t h u m b e d,0 1 2 3 4 17 18,"""t h u m b -""","""- e d""","Simple edit score, Progressive alignment",75164,thumb,5,t h u m b e d,0 1 2 3 4 17 18,"""t h u m b -""","""- e d""","Simple edit score, Progressive alignment with LCS"
75165,thumb,6,t h u m b i n g,0 1 2 3 4 5 6 16,"""t h u m b -""","""- i n g""","Simple edit score, Progressive alignment",75165,thumb,6,t h u m b i n g,0 1 2 3 4 5 6 16,"""t h u m b -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
75166,thumb,7,t h u m b n a i l,0 1 2 3 4 6 10 11 13,"""t h u m b -""","""- n a i l""","Simple edit score, Progressive alignment",75166,thumb,7,t h u m b n a i l,0 1 2 3 4 6 10 11 13,"""t h u m b -""","""- n a i l""","Simple edit score, Progressive alignment with LCS"
75167,thumb,8,t h u m b n a i l s,0 1 2 3 4 6 10 11 13 19,"""t h u m b -""","""- n a i l s""","Simple edit score, Progressive alignment",75167,thumb,8,t h u m b n a i l s,0 1 2 3 4 6 10 11 13 19,"""t h u m b -""","""- n a i l s""","Simple edit score, Progressive alignment with LCS"
75168,thumb,9,t h u m b s,0 1 2 3 4 19,"""t h u m b -""","""- s""","Simple edit score, Progressive alignment",75168,thumb,9,t h u m b s,0 1 2 3 4 19,"""t h u m b -""","""- s""","Simple edit score, Progressive alignment with LCS"
75169,thumb,10,t h u m b s c r e w,0 1 2 3 4 7 14 16 17 18,"""t h u m b -""","""- s c r e w""","Simple edit score, Progressive alignment",75169,thumb,10,t h u m b s c r e w,0 1 2 3 4 7 14 16 17 18,"""t h u m b -""","""- s c r e w""","Simple edit score, Progressive alignment with LCS"
