lexeme,cell,phon_form
Asian,0,A f r o - A s i a n
Asian,1,A s i a n
Asian,2,A s i a n s
Asiatic,0,A s i a t i c
Asiatic,1,A s i a t i c s
Attic,0,A t t i c
August,0,A u g u s t
August,1,A u g u s t s
Australasian,0,A u s t r a l a s i a n
Australasian,1,A u s t r a l a s i a n s
Australian,0,A u s s i e
Australian,1,A u s s i e s
Australian,2,A u s t r a l i a n
Australian,3,A u s t r a l i a n s
Austrian,0,A u s t r i a n
Austrian,1,A u s t r i a n s
Bactrian,0,B a c t r i a n
Bactrian,1,B a c t r i a n s
Bahamian,0,B a h a m i a n
Bahamian,1,B a h a m i a n s
Bahraini,0,B a h r a i n i
Bahraini,1,B a h r a i n i s
Band-Aid,0,B a n d - A i d
Band-Aid,1,B a n d - A i d s
Bangladeshi,0,B a n g l a d e s h i
Bangladeshi,1,B a n g l a d e s h i s
Bantu,0,B a n t u
Bantu,1,B a n t u s
Baptist,0,B a p t i s t
Baptist,1,B a p t i s t s
Barbadian,0,B a r b a d i a n
Barbadian,1,B a r b a d i a n s
Behemoth,0,B e h e m o t h
Behemoth,1,B e h e m o t h s
Belgian,0,B e l g i a n
Belgian,1,B e l g i a n s
Benedictine,0,B e n e d i c t i n e
Benedictine,1,B e n e d i c t i n e s
Bengalese,0,B e n g a l e s e
Bengali,0,B e n g a l i
Bengali,1,B e n g a l i s
Beninese,0,B e n i n e s e
Bermudan,0,B e r m u d a n
Bermudan,1,B e r m u d a n s
Bhutani,0,B h u t a n i
Bhutani,1,B h u t a n i s
Billingsgate,0,b i l l i n g s g a t e
Blimp,0,B l i m p
Blimp,1,B l i m p i s h
Blimp,2,B l i m p s
Boche,0,B o c h e
Boche,1,B o c h e s
Boer,0,B o e r
Boer,1,B o e r s
Bolivian,0,B o l i v i a n
Bolivian,1,B o l i v i a n s
Bolshevik,0,B o l s h e v i k
Bolshevik,1,B o l s h e v i k s
Bolshevik,2,B o l s h e v i s m
Bordeaux,0,B o r d e a u x
Brahmin,0,B r a h m i n
Brahmin,1,B r a h m i n s
Brazilian,0,B r a z i l i a n
Brazilian,1,B r a z i l i a n s
Bren,0,B r e n
Bren,1,B r e n s
Bren-gun,0,B r e n
Bren-gun,1,B r e n s
Brie,0,B r i e
Briton,0,B r i t o n
Briton,1,B r i t o n s
Bruneian,0,B r u n e i a n
Bruneian,1,B r u n e i a n s
Bulgarian,0,B u l g a r i a n
Bulgarian,1,B u l g a r i a n s
Bull,0,B u l l
Bull,1,B u l l s
Burberry,0,B u r b e r r i e s
Burberry,1,B u r b e r r y
Burgundy,0,B u r g u n d y
Burmese,0,B u r m e s e
Burundian,0,B u r u n d i a n
Burundian,1,B u r u n d i a n s
Caerphilly,0,C a e r p h i l l y
Caesarean,0,C a e s a r e a n
Caesarean,1,C a e s a r e a n s
Caesarean section,0,C a e s a r e a n
Caesarean section,1,C a e s a r e a n s
Calvary,0,c a l v a r i e s
Calvary,1,c a l v a r y
Calvinist,0,C a l v i n i s t
Calvinist,1,C a l v i n i s t s
Cambodian,0,C a m b o d i a n
Cambodian,1,C a m b o d i a n s
Camembert,0,C a m e m b e r t
Camembert,1,C a m e m b e r t s
Cameroonian,0,C a m e r o o n i a n
Cameroonian,1,C a m e r o o n i a n s
Canadian,0,C a n a d i a n
Canadian,1,C a n a d i a n s
Cancer,0,C a n c e r
Cancer,1,C a n c e r s
Canuck,0,C a n u c k
Canuck,1,C a n u c k s
Capricorn,0,C a p r i c o r n
Capricorn,1,C a p r i c o r n s
Carboniferous,0,C a r b o n i f e r o u s
Carmelite,0,C a r m e l i t e
Carmelite,1,C a r m e l i t e s
Catalan,0,C a t a l a n
Catholic,0,A n g l o - C a t h o l i c i s m
Catholic,1,C a t h o l i c
Catholic,2,C a t h o l i c i s m
Catholic,3,C a t h o l i c i t y
Catholic,4,C a t h o l i c s
Caucasian,0,C a u c a s i a n
Caucasian,1,C a u c a s i a n s
Celsius,0,C e l s i u s
Celt,0,C e l t
Celt,1,C e l t s
Celtic,0,C e l t i c
Chablis,0,C h a b l i s
Chadian,0,C h a d i a n
Chadian,1,C h a d i a n s
Charleston,0,C h a r l e s t o n
Charleston,1,C h a r l e s t o n s
Chianti,0,C h i a n t i
Chilean,0,C h i l e a n
Chilean,1,C h i l e a n s
Chinese,0,C h i n e s e
Chink,0,C h i n k
Chink,1,C h i n k s
Chippendale,0,C h i p p e n d a l e
Christian,0,C h r i s t i a n
Christian,1,C h r i s t i a n i t y
Christian,2,C h r i s t i a n s
Christian,3,u n c h r i s t i a n
Cinderella,0,C i n d e r e l l a
Cinderella,1,C i n d e r e l l a s
Coca-Cola,0,C o c a - C o l a
Coca-Cola,1,C o c a - C o l a s
Colombian,0,C o l o m b i a n
Colombian,1,C o l o m b i a n s
Colonel Blimp,0,B l i m p
Colonel Blimp,1,B l i m p i s h
Colonel Blimp,2,B l i m p s
Colt,0,C o l t
Colt,1,C o l t s
Communist,0,C o m m u n i s t
Communist,1,C o m m u n i s t s
Confucian,0,C o n f u c i a n
Confucian,1,C o n f u c i a n i s m
Confucian,2,C o n f u c i a n s
Congolese,0,C o n g o l e s e
Conservative,0,C o n s e r v a t i v e
Conservative,1,C o n s e r v a t i v e s
Copt,0,C o p t
Copt,1,C o p t i c
Copt,2,C o p t s
Coptic,0,C o p t i c
Corinthian,0,C o r i n t h i a n
Corinthian,1,C o r i n t h i a n s
Creole,0,C r e o l e
Cuban,0,C u b a n
Cuban,1,C u b a n s
Cypriot,0,C y p r i o t
Cypriot,1,C y p r i o t s
Cyrillic,0,C y r i l l i c
Czech,0,C z e c h
Czech,1,C z e c h s
Czechoslovak,0,C z e c h o s l o v a k
Czechoslovak,1,C z e c h o s l o v a k s
Czechoslovakian,0,C z e c h o s l o v a k i a n
Czechoslovakian,1,C z e c h o s l o v a k i a n s
Dane,0,D a n e
Dane,1,D a n e s
Dane,2,D a n i s h
Daniel,0,D a n i e l
Daniel,1,D a n i e l s
Danish,0,D a n i s h
Davenport,0,d a v e n p o r t
Davenport,1,d a v e n p o r t s
Democrat,0,D e m o c r a t
Democrat,1,D e m o c r a t i c
Democrat,2,D e m o c r a t s
Dictaphone,0,D i c t a p h o n e
Dictaphone,1,D i c t a p h o n e s
Djiboutian,0,D j i b o u t i a n
Djiboutian,1,D j i b o u t i a n s
Dominican,0,D o m i n i c a n
Dominican,1,D o m i n i c a n s
Doric,0,D o r i c
Dutch,0,D u t c h
Dutch,1,D u t c h m a n
Dutch,2,D u t c h m e n
Dutch,3,d o u b l e - d u t c h
Easter,0,E a s t e r
Easter,1,E a s t e r s
Ecuadorian,0,E c u a d o r i a n
Ecuadorian,1,E c u a d o r i a n s
Edam,0,E d a m
Edam,1,E d a m s
Egyptian,0,E g y p t i a n
Egyptian,1,E g y p t i a n s
Elizabethan,0,E l i z a b e t h a n
Elizabethan,1,E l i z a b e t h a n s
Emmenthaler,0,E m m e n t h a l e r
Empire,0,E m p i r e
English,0,E n g l i s h
English,1,E n g l i s h m a n
English,2,E n g l i s h m e n
English,3,E n g l i s h w o m a n
English,4,E n g l i s h w o m e n
Epicurean,0,E p i c u r e a n
Epicurean,1,E p i c u r e a n s
Epiphany,0,E p i p h a n y
Eritrean,0,E r i t r e a n
Eritrean,1,E r i t r e a n s
Erse,0,E r s e
Eskimo,0,E s k i m o
Eskimo,1,E s k i m o s
Esperanto,0,E s p e r a n t o
Ethiopian,0,E t h i o p i a n
Ethiopian,1,E t h i o p i a n s
Eurasian,0,E u r a s i a n
Eurasian,1,E u r a s i a n s
European,0,E u r o p e a n
European,1,E u r o p e a n s
European,2,I n d o - E u r o p e a n
Fabian,0,F a b i a n
Fabian,1,F a b i a n s
Fahrenheit,0,F a h r e n h e i t
Farsi,0,F a r s i
Federalist,0,f e d e r a l i s t
Federalist,1,f e d e r a l i s t s
Fijian,0,F i j i a n
Fijian,1,F i j i a n s
Filipino,0,F i l i p i n o
Filipino,1,F i l i p i n o s
Finn,0,F i n n
Finn,1,F i n n s
Finnish,0,F i n n i s h
Flemish,0,F l e m i s h
Franciscan,0,F r a n c i s c a n
Franciscan,1,F r a n c i s c a n s
Frank,0,F r a n k
Frank,1,F r a n k s
French,0,F r e n c h
French,1,F r e n c h m a n
French,2,F r e n c h m e n
French,3,F r e n c h w o m a n
French,4,F r e n c h w o m e n
French fries,0,f r i e s
French polish,0,F r e n c h - p o l i s h
French polish,1,F r e n c h - p o l i s h e d
French polish,2,F r e n c h - p o l i s h e s
French polish,3,F r e n c h - p o l i s h i n g
French-polish,0,F r e n c h - p o l i s h
French-polish,1,F r e n c h - p o l i s h e d
French-polish,2,F r e n c h - p o l i s h e s
French-polish,3,F r e n c h - p o l i s h i n g
Friend,0,F r i e n d
Friend,1,F r i e n d s
Frisbee,0,F r i s b e e
Frisbee,1,F r i s b e e s
Frisian,0,F r i s i a n
Frisian,1,F r i s i a n s
Frog,0,F r o g
Frog,1,F r o g g i e s
Frog,2,F r o g g y
Frog,3,F r o g s
Gabonese,0,G a b o n e s e
Gael,0,G a e l
Gael,1,G a e l i c
Gael,2,G a e l s
Gaelic,0,G a e l i c
Gambian,0,G a m b i a n
Gambian,1,G a m b i a n s
Gaul,0,G a u l
Gaul,1,G a u l s
Gemini,0,G e m i n i
Gemini,1,G e m i n i s
George,0,G e o r g e
George,1,G e o r g e s
George,2,G e o r g i a n
German,0,G e r m a n
German,1,G e r m a n i c
German,2,G e r m a n s
Ghanaian,0,G h a n a i a n
Ghanaian,1,G h a n a i a n s
Gibraltarian,0,G i b r a l t a r i a n
Gibraltarian,1,G i b r a l t a r i a n s
Goliath,0,g o l i a t h
Goliath,1,g o l i a t h s
Gorgonzola,0,G o r g o n z o l a
Goth,0,G o t h
Goth,1,G o t h i c
Goth,2,G o t h s
Gothic,0,G o t h i c
Gouda,0,G o u d a
Greek,0,G r e e k
Greek,1,G r e e k s
Grenadian,0,G r e n a d i a n
Grenadian,1,G r e n a d i a n s
Grundy,0,G r u n d i e s
Grundy,1,G r u n d y
Grundy,2,G r u n d y i s m
Gruyere,0,G r u y e r e
Guatemalan,0,G u a t e m a l a n
Guatemalan,1,G u a t e m a l a n s
Guinean,0,G u i n e a n
Guinean,1,G u i n e a n s
Gurkha,0,G u r k h a
Gurkha,1,G u r k h a s
Guyanese,0,G u y a n e s e
H-bomb,0,H - b o m b
H-bomb,1,H - b o m b s
Haitian,0,H a i t i a n
Haitian,1,H a i t i a n s
Hallowe'en,0,H a l l o w e ' e n
Hallowe'en,1,H a l l o w e ' e n s
Hansard,0,H a n s a r d
Hansard,1,H a n s a r d s
Havana,0,H a v a n a
Havana,1,H a v a n a s
Hebrew,0,H e b r a i c
Hebrew,1,H e b r e w
Hebrew,2,H e b r e w s
Hellene,0,H e l l e n e
Hellene,1,H e l l e n e s
Hellene,2,H e l l e n i c
Hellene,3,H e l l e n i s t i c
Hindi,0,H i n d i
Hindi,1,H i n d i s
Hindu,0,H i n d u
Hindu,1,H i n d u i s m
Hindu,2,H i n d u s
Hindustani,0,H i n d u s t a n i
Hogmanay,0,H o g m a n a y
Hogmanay,1,H o g m a n a y s
Holstein,0,H o l s t e i n
Holstein,1,H o l s t e i n s
Honduran,0,H o n d u r a n
Honduran,1,H o n d u r a n s
Hottentot,0,H o t t e n t o t
House,0,H o u s e
Huguenot,0,H u g u e n o t
Huguenot,1,H u g u e n o t s
Hun,0,H u n
Hun,1,H u n s
Hungarian,0,H u n g a r i a n
Hungarian,1,H u n g a r i a n s
I,0,I
I,1,I ' d
I,2,I ' l l
I,3,I ' m
I,4,I ' v e
Icelandic,0,I c e l a n d i c
Indian,0,A m e r i n d i a n
Indian,1,A m e r i n d i a n s
Indian,2,I n d i a n
Indian,3,I n d i a n s
Indian,4,I n d o - E u r o p e a n
Indonesian,0,I n d o n e s i a n
Indonesian,1,I n d o n e s i a n s
Iranian,0,I r a n i a n
Iranian,1,I r a n i a n s
Iraqi,0,I r a q i
Iraqi,1,I r a q i s
Irish,0,I r i s h
Irish,1,I r i s h m a n
Irish,2,I r i s h m e n
Irish,3,I r i s h w o m a n
Irish,4,I r i s h w o m e n
Islam,0,I s l a m
Islam,1,I s l a m i c
Israeli,0,I s r a e l i
Israeli,1,I s r a e l i s
Italian,0,I t a l i a n
Italian,1,I t a l i a n s
Jacobean,0,J a c o b e a n
Jacobean,1,J a c o b e a n s
Jacobin,0,J a c o b i n
Jacobin,1,J a c o b i n i s m
Jacobin,2,J a c o b i n s
Jacobite,0,J a c o b i t e
Jacobite,1,J a c o b i t e s
Jaffa,0,J a f f a
Jaffa,1,J a f f a s
Jamaican,0,J a m a i c a n
Jamaican,1,J a m a i c a n s
Japanese,0,J a p a n e s e
Javanese,0,J a v a n e s e
Jell-O,0,j e l l o
Jerry,0,J e r r i e s
Jerry,1,J e r r y
Jersey,0,J e r s e y
Jersey,1,J e r s e y s
Jesuit,0,J e s u i t
Jesuit,1,J e s u i t s
Jesuit,2,j e s u i t i c
Jesuit,3,j e s u i t i c a l
Jesuit,4,j e s u i t i c a l l y
Jew,0,J e w
Jew,1,J e w e s s
Jew,2,J e w e s s e s
Jew,3,J e w i s h
Jew,4,J e w s
Jezebel,0,J e z e b e l
Jezebel,1,J e z e b e l s
Jonah,0,J o n a h
Jonah,1,J o n a h s
Jordanian,0,J o r d a n i a n
Jordanian,1,J o r d a n i a n s
Judas,0,J u d a s
Judas,1,J u d a s e s
June,0,J u n e
June,1,J u n e s
KO,0,K O
KO,1,K O ' d
KO,2,K O ' i n g
KO,3,K O ' s
Kashmiri,0,K a s h m i r i
Kashmiri,1,K a s h m i r i s
Kelvin,0,k e l v i n
Kelvin,1,k e l v i n s
Kenyan,0,K e n y a n
Kenyan,1,K e n y a n s
Khalka,0,K h a l k a
Khmer,0,K h m e r
Kleenex,0,K l e e n e x
Kleenex,1,K l e e n e x e s
Koran,0,K o r a n
Koran,1,K o r a n i c
Koran,2,K o r a n s
Korean,0,K o r e a n
Korean,1,K o r e a n s
Kuwaiti,0,K u w a i t i
Kuwaiti,1,K u w a i t i s
Labour,0,L a b o u r
Labour,1,L a b o u r i t e
Labour,2,L a b o u r i t e s
Labrador,0,L a b r a d o r
Labrador,1,L a b r a d o r s
Ladies,0,L a d i e s
Lammas,0,L a m m a s
Lammas,1,L a m m a s e s
Laotian,0,L a o t i a n
Laotian,1,L a o t i a n s
Latin,0,L a t i n
Latin,1,L a t i n i s t
Latin,2,L a t i n i s t s
Latin,3,L a t i n s
Latin,4,l a t i n i z a t i o n
Latin,5,l a t i n i z a t i o n s
Latin,6,l a t i n i z e
Latin,7,l a t i n i z e d
Latin,8,l a t i n i z e s
Latin,9,l a t i n i z i n g
Laundromat,0,l a u n d r o m a t
Laundromat,1,l a u n d r o m a t s
Lazarus,0,L a z a r u s
Lazarus,1,L a z a r u s e s
Lebanese,0,L e b a n e s e
Lent,0,L e n t
Lent,1,L e n t e n
Lent,2,L e n t s
Leo,0,L e o
Leo,1,L e o s
Levantine,0,L e v a n t i n e
Levantine,1,L e v a n t i n e s
Levis,0,L e v i s
Liberal,0,L i b e r a l
Liberal,1,L i b e r a l i s m
Liberal,2,L i b e r a l s
Liberian,0,L i b e r i a n
Liberian,1,L i b e r i a n s
Libra,0,L i b r a
Libra,1,L i b r a s
Libyan,0,L i b y a n
Libyan,1,L i b y a n s
Liechtensteiner,0,L i e c h t e n s t e i n e r
Liechtensteiner,1,L i e c h t e n s t e i n e r s
Lilliputian,0,l i l l i p u t i a n
Lilo,0,l i l o
Lilo,1,l i l o s
Lutheran,0,L u t h e r a n
Lutheran,1,L u t h e r a n s
Luxemburger,0,L u x e m b u r g e r
Luxemburger,1,L u x e m b u r g e r s
Macedonian,0,M a c e d o n i a n
Macedonian,1,M a c e d o n i a n s
Mach,0,M a c h
Madagascan,0,M a d a g a s c a n
Madagascan,1,M a d a g a s c a n s
Madeira,0,M a d e i r a
Madeira,1,M a d e i r a s
Mafia,0,m a f i a
Mafia,1,m a f i a s
Magyar,0,M a g y a r
Magyar,1,M a g y a r s
Malawian,0,M a l a w i a n
Malawian,1,M a l a w i a n s
Malay,0,M a l a y
Malay,1,M a l a y s
Malayan,0,M a l a y a n
Malayan,1,M a l a y a n s
Malaysian,0,M a l a y s i a n
Malaysian,1,M a l a y s i a n s
Malian,0,M a l i a n
Malian,1,M a l i a n s
Maltese,0,M a l t e s e
Manila,0,m a n i l a
Manx,0,M a n x
Maoist,0,M a o i s t
Maoist,1,M a o i s t s
Maori,0,M a o r i
Maori,1,M a o r i s
March,0,M a r c h
March,1,M a r c h e s
Marsala,0,M a r s a l a
Martian,0,M a r t i a n
Martian,1,M a r t i a n s
Marxist,0,M a r x i s t
Marxist,1,M a r x i s t s
Marxist-Leninist,0,M a r x i s t - L e n i n i s t
Marxist-Leninist,1,M a r x i s t - L e n i n i s t s
Mauritanian,0,M a u r i t a n i a n
Mauritanian,1,M a u r i t a n i a n s
Mauritian,0,M a u r i t i a n
Mauritian,1,M a u r i t i a n s
Maxim,0,M a x i m
Maxim,1,M a x i m s
Maxim gun,0,M a x i m
Maxim gun,1,M a x i m s
May,0,M a y
May,1,M a y s
May,2,m a y b e e t l e
May,3,m a y b e e t l e s
May,4,m a y b u g
May,5,m a y b u g s
May,6,m a y f l i e s
May,7,m a y f l y
May,8,m a y p o l e
May,9,m a y p o l e s
Mayan,0,M a y a n
Mediterranean,0,M e d i t e r r a n e a n
Messiah,0,m e s s i a h
Messiah,1,m e s s i a h s
Messiah,2,m e s s i a n i c
Methodist,0,M e t h o d i s t
Methodist,1,M e t h o d i s t s
Metro,0,m e t r o
Metro,1,m e t r o s
Mexican,0,M e x i c a n
Mexican,1,M e x i c a n s
Middle,0,M i d d l e
Mohammedan,0,M o h a m m e d a n
Mohammedan,1,M o h a m m e d a n i s m
Mohammedan,2,M o h a m m e d a n s
Monegasque,0,M o n e g a s q u e
Monegasque,1,M o n e g a s q u e s
Mongol,0,M o n g o l
Mongol,1,M o n g o l s
Mongolian,0,M o n g o l i a n
Mongolian,1,M o n g o l i a n s
Montserratian,0,M o n t s e r r a t i a n
Montserratian,1,M o n t s e r r a t i a n s
Moor,0,M o o r
Moor,1,M o o r i s h
Moor,2,M o o r s
Moor,3,M o r e s q u e
Moor,4,b l a c k a m o o r
Moor,5,b l a c k a m o o r s
Mormon,0,M o r m o n
Mormon,1,M o r m o n i s m
Mormon,2,M o r m o n s
Moroccan,0,M o r o c c a n
Moroccan,1,M o r o c c a n s
Morse,0,M o r s e
Morse code,0,M o r s e
Moslem,0,M o s l e m
Moslem,1,M o s l e m s
Mozambiquean,0,M o z a m b i q u e a n
Mozambiquean,1,M o z a m b i q u e a n s
Muscovite,0,M u s c o v i t e
Muscovite,1,M u s c o v i t e s
Muslim,0,M u s l i m
Muslim,1,M u s l i m s
Muzak,0,m u z a k
Myrmidon,0,m y r m i d o n
Myrmidon,1,m y r m i d o n s
Naafi,0,N a a f i
Naafi,1,N a a f i s
Namibian,0,N a m i b i a n
Namibian,1,N a m i b i a n s
Nauruan,0,N a u r u a n
Nauruan,1,N a u r u a n s
Nazi,0,N a z i
Nazi,1,N a z i i s m
Nazi,2,N a z i s
Nazi,3,N a z i s m
Neanderthal,0,N e a n d e r t h a l
Neanderthal,1,N e a n d e r t h a l s
Neapolitan,0,N e a p o l i t a n
Neapolitan,1,N e a p o l i t a n s
Negro,0,N e g r e s s
Negro,1,N e g r e s s e s
Negro,2,N e g r o
Negro,3,N e g r o e s
Negroid,0,N e g r o i d
Negroid,1,N e g r o i d s
Nelly,0,N e l l y
Nepalese,0,N e p a l e s e
Nepali,0,N e p a l i
Nepali,1,N e p a l i s
Nestor,0,N e s t o r
Nestor,1,N e s t o r s
New-Year,0,N e w - Y e a r
Newfoundland,0,N e w f o u n d l a n d
Newfoundland,1,N e w f o u n d l a n d s
Newmarket,0,n e w m a r k e t
Newtonian,0,N e w t o n i a n
Newtonian,1,N e w t o n i a n s
Nicaraguan,0,N i c a r a g u a n
Nicaraguan,1,N i c a r a g u a n s
Nigerian,0,N i g e r i a n
Nigerian,1,N i g e r i a n s
Nigerien,0,N i g e r i e n
Nigerien,1,N i g e r i e n s
Nimrod,0,N i m r o d
Nimrod,1,N i m r o d s
Noel,0,N o e l
Noel,1,N o e l s
Nonconformist,0,N o n c o n f o r m i s t
Nonconformist,1,N o n c o n f o r m i s t s
Nordic,0,N o r d i c
Nordic,1,N o r d i c s
Norman,0,N o r m a n
Norman,1,N o r m a n s
Norse,0,N o r s e
Norwegian,0,N o r w e g i a n
Norwegian,1,N o r w e g i a n s
O-level,0,O - l e v e l
O-level,1,O - l e v e l s
Occidental,0,O c c i d e n t a l
Occidental,1,O c c i d e n t a l s
Old,0,O l d
Olympian,0,O l y m p i a n
Olympian,1,O l y m p i a n s
Omani,0,O m a n i
Omani,1,O m a n i s
Oriental,0,O r i e n t a l
Oriental,1,O r i e n t a l s
Oscar,0,O s c a r
Oscar,1,O s c a r s
Oxonian,0,O x o n i a n
Oxonian,1,O x o n i a n s
Paddy,0,P a d d i e s
Paddy,1,P a d d y
Pakistani,0,P a k i s t a n i
Pakistani,1,P a k i s t a n i s
Palestinian,0,P a l e s t i n i a n
Palestinian,1,P a l e s t i n i a n s
Panamanian,0,P a n a m a n i a n
Panamanian,1,P a n a m a n i a n s
Panjabi,0,P a n j a b i
Panjabi,1,P a n j a b i s
Papuan,0,P a p u a n
Papuan,1,P a p u a n s
Paraguayan,0,P a r a g u a y a n
Paraguayan,1,P a r a g u a y a n s
Parisian,0,P a r i s i a n
Parisian,1,P a r i s i a n s
Parmesan,0,P a r m e s a n
Parsee,0,P a r s e e
Parsee,1,P a r s e e s
Pashto,0,P a s h t o
Pathan,0,P a t h a n
Persian,0,P e r s i a n
Persian,1,P e r s i a n s
Peruvian,0,P e r u v i a n
Peruvian,1,P e r u v i a n s
Pharaoh,0,p h a r a o h
Pharaoh,1,p h a r a o h s
Pharisee,0,P h a r i s e e
Pharisee,1,P h a r i s e e s
Philippine,0,P h i l i p p i n e
Philippine,1,P h i l i p p i n e s
Philistine,0,p h i l i s t i n e
Philistine,1,p h i l i s t i n e s
Philistine,2,p h i l i s t i n i s m
Photostat,0,p h o t o s t a t
Photostat,1,p h o t o s t a t i c
Photostat,2,p h o t o s t a t s
Photostat,3,p h o t o s t a t t e d
Photostat,4,p h o t o s t a t t i n g
Pianola,0,p i a n o l a
Pianola,1,p i a n o l a s
Pinchbeck,0,p i n c h b e c k
Pisces,0,P i s c e s
Polack,0,P o l a c k
Polack,1,P o l a c k s
Pole,0,P o l e
Pole,1,P o l e s
Polish,0,P o l i s h
Pollyanna,0,P o l l y a n n a
Pollyanna,1,P o l l y a n n a i s h
Pollyanna,2,P o l l y a n n a s
Pomeranian,0,P o m e r a n i a n
Pomeranian,1,P o m e r a n i a n s
Pope,0,P o p e
Pope,1,P o p e s
Portuguese,0,P o r t u g u e s e
Pre-Raphaelite,0,P r e - R a p h a e l i t e
Pre-Raphaelite,1,P r e - R a p h a e l i t e s
Presbyterian,0,P r e s b y t e r i a n
Presbyterian,1,P r e s b y t e r i a n i s m
Presbyterian,2,P r e s b y t e r i a n s
Protestant,0,P r o t e s t a n t
Protestant,1,P r o t e s t a n t i s m
Protestant,2,P r o t e s t a n t s
Prussian,0,P r u s s i a n
Prussian,1,P r u s s i a n s
Pullman,0,P u l l m a n
Pullman,1,P u l l m a n s
Punic,0,P u n i c
Puritan,0,P u r i t a n
Puritan,1,P u r i t a n i s m
Puritan,2,P u r i t a n s
Pygmy,0,P y g m i e s
Pygmy,1,P y g m y
Qatari,0,Q a t a r i
Qatari,1,Q a t a r i s
Quadragesima,0,Q u a d r a g e s i m a
Quaker,0,Q u a k e r
Quaker,1,Q u a k e r s
Quinquagesima,0,Q u i n q u a g e s i m a
Quinquagesima,1,Q u i n q u a g e s i m a s
Ram,0,R a m
Ramadan,0,R a m a d a n
Ramadan,1,R a m a d a n s
Red,0,R e d
Red,1,R e d s
Red,2,i n f r a r e d
Red,3,r e d c u r r a n t
Red,4,r e d c u r r a n t s
Red,5,r e d n e s s
Regency,0,R e g e n c y
Regulo,0,r e g u l o
Regulo,1,r e g u l o s
Renaissance,0,R e n a i s s a n c e
Republican,0,R e p u b l i c a n
Republican,1,R e p u b l i c a n i s m
Republican,2,R e p u b l i c a n s
Rhenish,0,R h e n i s h
Riesling,0,R i e s l i n g
Riesling,1,R i e s l i n g s
Riviera,0,R i v i e r a
Riviera,1,R i v i e r a s
Roentgen,0,r o e n t g e n
Roentgen,1,r o e n t g e n s
Roman,0,R o m a n
