index,lexeme,cell,phon_form,alignment,stem,exponents,method
1150,Zimbabwean,0,Z i m b a b w e a n,0 1 2 3 4 5 6 7 8 9,Z i m b a b w e a n -,-,"User features, features similarity, Progressive alignment"
1151,Zimbabwean,1,Z i m b a b w e a n s,0 1 2 3 4 5 6 7 8 9 10,Z i m b a b w e a n -,- s,"User features, features similarity, Progressive alignment"
1152,abaft,0,a b a f t,0 1 2 3 4,a b a f t,-,"User features, features similarity, Progressive alignment"
1153,abandon,0,a b a n d o n,0 1 2 3 4 5 6,a b a n d o n -,-,"User features, features similarity, Progressive alignment"
1154,abandon,1,a b a n d o n e d,0 1 2 3 4 5 6 8 9,a b a n d o n -,- e d,"User features, features similarity, Progressive alignment"
1155,abandon,2,a b a n d o n i n g,0 1 2 3 4 5 6 8 9 10,a b a n d o n -,- i n g,"User features, features similarity, Progressive alignment"
1156,abandon,3,a b a n d o n m e n t,0 1 2 3 4 5 6 7 8 9 10,a b a n d o n -,- m e n t,"User features, features similarity, Progressive alignment"
1157,abandon,4,a b a n d o n s,0 1 2 3 4 5 6 7,a b a n d o n -,- s,"User features, features similarity, Progressive alignment"
1158,abandoned,0,a b a n d o n e d,0 1 2 3 4 5 6 7 8,a b a n d o n e d,-,"User features, features similarity, Progressive alignment"
1159,abbe,0,a b b e,0 1 2 3,a b b e -,-,"User features, features similarity, Progressive alignment"
1160,abbe,1,a b b e s,0 1 2 3 4,a b b e -,- s,"User features, features similarity, Progressive alignment"
1161,abbey,0,a b b e y,0 1 2 3 4,a b b e y -,-,"User features, features similarity, Progressive alignment"
1162,abbey,1,a b b e y s,0 1 2 3 4 5,a b b e y -,- s,"User features, features similarity, Progressive alignment"
1163,abbot,0,a b b o t,0 1 2 3 4,a b b o t -,-,"User features, features similarity, Progressive alignment"
1164,abbot,1,a b b o t s,0 1 2 3 4 5,a b b o t -,- s,"User features, features similarity, Progressive alignment"
1165,abet,0,a b e t,0 1 2 4,a b e - t -,-,"User features, features similarity, Progressive alignment"
1166,abet,1,a b e t s,0 1 2 4 7,a b e - t -,- s,"User features, features similarity, Progressive alignment"
1167,abet,2,a b e t t e d,0 1 2 3 4 5 7,a b e - t -,- t - e d,"User features, features similarity, Progressive alignment"
1168,abet,3,a b e t t i n g,0 1 2 3 4 5 6 7,a b e - t -,- t - i n g,"User features, features similarity, Progressive alignment"
1169,abet,4,a b e t t o r,0 1 2 3 4 5 6,a b e - t -,- t - o r,"User features, features similarity, Progressive alignment"
1170,abet,5,a b e t t o r s,0 1 2 3 4 5 6 7,a b e - t -,- t - o r s,"User features, features similarity, Progressive alignment"
1171,abiding,0,a b i d i n g,1 4 5 6 7 8 9,- a - b i d i n g,-,"User features, features similarity, Progressive alignment"
1172,abiding,1,l a w - a b i d i n g,0 1 2 3 4 5 6 7 8 9,- a - b i d i n g,l - w a -,"User features, features similarity, Progressive alignment"
1173,abilities,0,a b i l i t i e s,0 1 2 3 4 5 6 7 8,a b i l i t i e s,-,"User features, features similarity, Progressive alignment"
1174,ablative,0,a b l a t i v e,0 1 2 3 4 5 6 7,a b l a t i v e -,-,"User features, features similarity, Progressive alignment"
1175,ablative,1,a b l a t i v e s,0 1 2 3 4 5 6 7 8,a b l a t i v e -,- s,"User features, features similarity, Progressive alignment"
1176,ablaze,0,a b l a z e,0 1 2 3 4 5,a b l a z e,-,"User features, features similarity, Progressive alignment"
1177,ablutions,0,a b l u t i o n s,0 1 2 3 4 5 6 7 8,a b l u t i o n s,-,"User features, features similarity, Progressive alignment"
1178,abo,0,a b o,0 1 2,a b o -,-,"User features, features similarity, Progressive alignment"
1179,abo,1,a b o s,0 1 2 3,a b o -,- s,"User features, features similarity, Progressive alignment"
1180,aboard,0,a b o a r d,0 1 2 3 4 5,a b o a r d,-,"User features, features similarity, Progressive alignment"
1181,aboriginal,0,a b o r i g i n a l,0 1 2 3 4 5 6 7 8 9,a b o r i g i n a l -,-,"User features, features similarity, Progressive alignment"
1182,aboriginal,1,a b o r i g i n a l s,0 1 2 3 4 5 6 7 8 9 10,a b o r i g i n a l -,- s,"User features, features similarity, Progressive alignment"
1183,aborigine,0,a b o,0 1 2,a b o -,-,"User features, features similarity, Progressive alignment"
1184,aborigine,1,a b o r i g i n e,0 1 2 3 4 5 6 7 8,a b o -,- r i g i n e,"User features, features similarity, Progressive alignment"
1185,aborigine,2,a b o r i g i n e s,0 1 2 3 4 5 6 7 8 9,a b o -,- r i g i n e s,"User features, features similarity, Progressive alignment"
1186,aborigine,3,a b o s,0 1 2 9,a b o -,- s,"User features, features similarity, Progressive alignment"
1187,about,0,a b o u t,6 7 8 9 10,- a b o u t -,-,"User features, features similarity, Progressive alignment"
1188,about,1,a b o u t - f a c e,6 7 8 9 10 11 12 13 15,- a b o u t -,- f a c e,"User features, features similarity, Progressive alignment"
1189,about,2,a b o u t - f a c e d,6 7 8 9 10 11 12 13 15 16,- a b o u t -,- f a c e d,"User features, features similarity, Progressive alignment"
1190,about,3,a b o u t - f a c e s,6 7 8 9 10 11 12 13 15 16,- a b o u t -,- f a c e s,"User features, features similarity, Progressive alignment"
1191,about,4,a b o u t - f a c i n g,6 7 8 9 10 11 12 13 14 15 16,- a b o u t -,- f a c i n g,"User features, features similarity, Progressive alignment"
1192,about,5,h e r e a b o u t,1 2 3 5 6 7 8 9 10,- a b o u t -,h e r e -,"User features, features similarity, Progressive alignment"
1193,about,6,h e r e a b o u t s,1 2 3 5 6 7 8 9 10 14,- a b o u t -,h e r e - s,"User features, features similarity, Progressive alignment"
1194,about,7,l a y a b o u t,0 3 4 6 7 8 9 10,- a b o u t -,l a y -,"User features, features similarity, Progressive alignment"
1195,about,8,l a y a b o u t s,0 3 4 6 7 8 9 10 14,- a b o u t -,l a y - s,"User features, features similarity, Progressive alignment"
1196,about,9,r o u n d a b o u t,0 1 2 4 5 6 7 8 9 10,- a b o u t -,r o u n d -,"User features, features similarity, Progressive alignment"
1197,about,10,r o u n d a b o u t s,0 1 2 4 5 6 7 8 9 10 14,- a b o u t -,r o u n d - s,"User features, features similarity, Progressive alignment"
1198,about,11,r u n - a b o u t,0 2 4 6 7 8 9 10,- a b o u t -,r u n -,"User features, features similarity, Progressive alignment"
1199,about,12,r u n - a b o u t s,0 2 4 6 7 8 9 10 14,- a b o u t -,r u n - s,"User features, features similarity, Progressive alignment"
1200,about,13,t h e r e a b o u t,0 1 2 3 5 6 7 8 9 10,- a b o u t -,t h e r e -,"User features, features similarity, Progressive alignment"
1201,about,14,t h e r e a b o u t s,0 1 2 3 5 6 7 8 9 10 14,- a b o u t -,t h e r e - s,"User features, features similarity, Progressive alignment"
1202,about,15,t u r n a b o u t,1 2 3 4 6 7 8 9 10,- a b o u t -,t u r n -,"User features, features similarity, Progressive alignment"
1203,about,16,t u r n a b o u t s,1 2 3 4 6 7 8 9 10 14,- a b o u t -,t u r n - s,"User features, features similarity, Progressive alignment"
1204,about,17,w a l k a b o u t,0 3 4 5 6 7 8 9 10,- a b o u t -,w a l k -,"User features, features similarity, Progressive alignment"
1205,about,18,w a l k a b o u t s,0 3 4 5 6 7 8 9 10 14,- a b o u t -,w a l k - s,"User features, features similarity, Progressive alignment"
1206,about,19,w h e r e a b o u t s,0 1 2 3 5 6 7 8 9 10 14,- a b o u t -,w h e r e - s,"User features, features similarity, Progressive alignment"
1207,about-face,0,a b o u t - f a c e,0 1 2 3 4 5 6 7 8,a b o u t f a c -,- e,"User features, features similarity, Progressive alignment"
1208,about-face,1,a b o u t - f a c e d,0 1 2 3 4 5 6 7 8 10,a b o u t f a c -,- e d,"User features, features similarity, Progressive alignment"
1209,about-face,2,a b o u t - f a c e s,0 1 2 3 4 5 6 7 8 9,a b o u t f a c -,- e s,"User features, features similarity, Progressive alignment"
1210,about-face,3,a b o u t - f a c i n g,0 1 2 3 4 5 6 7 9 10 11,a b o u t f a c -,- i n g,"User features, features similarity, Progressive alignment"
1211,above,0,a b o v e,0 1 2 3 4,a b o v e -,-,"User features, features similarity, Progressive alignment"
1212,above,1,a b o v e - m e n t i o n e d,0 1 2 3 4 5 6 7 8 9 10 11 12 13,a b o v e -,- m e n t i o n e d,"User features, features similarity, Progressive alignment"
1213,above,2,a b o v e - n a m e d,0 1 2 3 4 7 8 9 12 13,a b o v e -,- n a m e d,"User features, features similarity, Progressive alignment"
1214,above,3,a b o v e b o a r d,0 1 2 3 4 5 6 8 10 13,a b o v e -,- b o a r d,"User features, features similarity, Progressive alignment"
1215,above-mentioned,0,a b o v e - m e n t i o n e d,0 1 2 3 4 6 7 8 9 10 11 12 13 14,a b o v e - m e n t i o n e d,-,"User features, features similarity, Progressive alignment"
1216,above-named,0,a b o v e - n a m e d,0 1 2 3 4 6 7 8 9 10,a b o v e - n a m e d,-,"User features, features similarity, Progressive alignment"
1217,abracadabra,0,a b r a c a d a b r a,0 1 2 3 4 5 6 7 8 9 10,a b r a c a d a b r a,-,"User features, features similarity, Progressive alignment"
1218,abrasive,0,a b r a s i v e,0 1 2 3 4 5 6 7,a b r a s i v e -,-,"User features, features similarity, Progressive alignment"
1219,abrasive,1,a b r a s i v e l y,0 1 2 3 4 5 6 7 8 9,a b r a s i v e -,- l y,"User features, features similarity, Progressive alignment"
1220,abrasive,2,a b r a s i v e s,0 1 2 3 4 5 6 7 8,a b r a s i v e -,- s,"User features, features similarity, Progressive alignment"
1221,absent,0,a b s e n c e,0 1 2 3 4 8 10,a b s e n -,- c e,"User features, features similarity, Progressive alignment"
1222,absent,1,a b s e n c e s,0 1 2 3 4 8 10 14,a b s e n -,- c e s,"User features, features similarity, Progressive alignment"
1223,absent,2,a b s e n t,0 1 2 3 4 5,a b s e n -,- t,"User features, features similarity, Progressive alignment"
1224,absent,3,a b s e n t - m i n d e d,0 1 2 3 4 5 6 7 8 9 10 11,a b s e n -,- t m i n d e d,"User features, features similarity, Progressive alignment"
1225,absent,4,a b s e n t - m i n d e d l y,0 1 2 3 4 5 6 7 8 9 10 11 12 15,a b s e n -,- t m i n d e d l y,"User features, features similarity, Progressive alignment"
1226,absent,5,a b s e n t - m i n d e d n e s s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,a b s e n -,- t m i n d e d n e s s,"User features, features similarity, Progressive alignment"
1227,absent,6,a b s e n t e d,0 1 2 3 4 5 10 11,a b s e n -,- t e d,"User features, features similarity, Progressive alignment"
1228,absent,7,a b s e n t e e,0 1 2 3 4 5 10 13,a b s e n -,- t e e,"User features, features similarity, Progressive alignment"
1229,absent,8,a b s e n t e e i s m,0 1 2 3 4 5 6 10 12 14 15,a b s e n -,- t e e i s m,"User features, features similarity, Progressive alignment"
1230,absent,9,a b s e n t e e s,0 1 2 3 4 5 10 13 14,a b s e n -,- t e e s,"User features, features similarity, Progressive alignment"
1231,absent,10,a b s e n t i n g,0 1 2 3 4 5 7 8 9,a b s e n -,- t i n g,"User features, features similarity, Progressive alignment"
1232,absent,11,a b s e n t l y,0 1 2 3 4 5 12 15,a b s e n -,- t l y,"User features, features similarity, Progressive alignment"
1233,absent,12,a b s e n t s,0 1 2 3 4 5 14,a b s e n -,- t s,"User features, features similarity, Progressive alignment"
1234,absinth,0,a b s i n t h,0 1 2 3 4 5 6,a b s i n t h,-,"User features, features similarity, Progressive alignment"
1235,absorbent,0,a b s o r b e n t,0 1 2 3 4 5 6 7 8,a b s o r b e n t -,-,"User features, features similarity, Progressive alignment"
1236,absorbent,1,a b s o r b e n t s,0 1 2 3 4 5 6 7 8 9,a b s o r b e n t -,- s,"User features, features similarity, Progressive alignment"
1237,absorbing,0,a b s o r b i n g,0 1 2 3 4 5 6 7 8,a b s o r b i n g,-,"User features, features similarity, Progressive alignment"
1238,abstract,0,a b s t r a c t,0 1 2 3 4 5 6 7,a b s t r a c t -,-,"User features, features similarity, Progressive alignment"
1239,abstract,1,a b s t r a c t e d,0 1 2 3 4 5 6 7 9 11,a b s t r a c t -,- e d,"User features, features similarity, Progressive alignment"
1240,abstract,2,a b s t r a c t i n g,0 1 2 3 4 5 6 7 8 10 11,a b s t r a c t -,- i n g,"User features, features similarity, Progressive alignment"
1241,abstract,3,a b s t r a c t i o n,0 1 2 3 4 5 6 7 8 9 10,a b s t r a c t -,- i o n,"User features, features similarity, Progressive alignment"
1242,abstract,4,a b s t r a c t i o n s,0 1 2 3 4 5 6 7 8 9 10 11,a b s t r a c t -,- i o n s,"User features, features similarity, Progressive alignment"
1243,abstract,5,a b s t r a c t s,0 1 2 3 4 5 6 7 11,a b s t r a c t -,- s,"User features, features similarity, Progressive alignment"
1244,abstracted,0,a b s t r a c t e d,0 1 2 3 4 5 6 7 8 9,a b s t r a c t e d -,-,"User features, features similarity, Progressive alignment"
1245,abstracted,1,a b s t r a c t e d l y,0 1 2 3 4 5 6 7 8 9 10 11,a b s t r a c t e d -,- l y,"User features, features similarity, Progressive alignment"
1246,abuse,0,a b u s e,4 5 6 7 10,- a b u s -,- e,"User features, features similarity, Progressive alignment"
1247,abuse,1,a b u s e d,4 5 6 7 10 11,- a b u s -,- e d,"User features, features similarity, Progressive alignment"
1248,abuse,2,a b u s e s,4 5 6 7 10 11,- a b u s -,- e s,"User features, features similarity, Progressive alignment"
1249,abuse,3,a b u s i n g,4 5 6 7 8 9 12,- a b u s -,- i n g,"User features, features similarity, Progressive alignment"
1250,abuse,4,a b u s i v e,4 5 6 7 8 9 10,- a b u s -,- i v e,"User features, features similarity, Progressive alignment"
1251,abuse,5,a b u s i v e l y,4 5 6 7 8 9 10 11 12,- a b u s -,- i v e l y,"User features, features similarity, Progressive alignment"
1252,abuse,6,d i s a b u s e,0 1 2 4 5 6 7 10,- a b u s -,d i s - e,"User features, features similarity, Progressive alignment"
1253,abuse,7,d i s a b u s e d,0 1 2 4 5 6 7 10 11,- a b u s -,d i s - e d,"User features, features similarity, Progressive alignment"
1254,abuse,8,d i s a b u s e s,0 1 2 4 5 6 7 10 11,- a b u s -,d i s - e s,"User features, features similarity, Progressive alignment"
1255,abuse,9,d i s a b u s i n g,0 1 2 4 5 6 7 8 9 12,- a b u s -,d i s - i n g,"User features, features similarity, Progressive alignment"
1256,abuse,10,s e l f - a b u s e,0 1 2 3 4 5 6 7 10,- a b u s -,s e l f - e,"User features, features similarity, Progressive alignment"
1257,academic,0,a c a d e m i c,0 1 2 3 4 5 6 7,a c a d e m i c -,-,"User features, features similarity, Progressive alignment"
1258,academic,1,a c a d e m i c a l l y,0 1 2 3 4 5 6 7 8 9 10 11,a c a d e m i c -,- a l l y,"User features, features similarity, Progressive alignment"
1259,academic,2,a c a d e m i c s,0 1 2 3 4 5 6 7 8,a c a d e m i c -,- s,"User features, features similarity, Progressive alignment"
1260,accelerando,0,a c c e l e r a n d o,0 1 2 3 4 5 6 7 8 9 10,a c c e l e r a n d o -,-,"User features, features similarity, Progressive alignment"
1261,accelerando,1,a c c e l e r a n d o s,0 1 2 3 4 5 6 7 8 9 10 11,a c c e l e r a n d o -,- s,"User features, features similarity, Progressive alignment"
1262,accent,0,a c c e n t,0 1 2 3 4 5,a c c e n t -,-,"User features, features similarity, Progressive alignment"
1263,accent,1,a c c e n t e d,0 1 2 3 4 5 10 12,a c c e n t -,- e d,"User features, features similarity, Progressive alignment"
1264,accent,2,a c c e n t i n g,0 1 2 3 4 5 9 11 12,a c c e n t -,- i n g,"User features, features similarity, Progressive alignment"
1265,accent,3,a c c e n t s,0 1 2 3 4 5 12,a c c e n t -,- s,"User features, features similarity, Progressive alignment"
1266,accent,4,a c c e n t u a t e,0 1 2 3 4 5 6 7 8 10,a c c e n t -,- u a t e,"User features, features similarity, Progressive alignment"
1267,accent,5,a c c e n t u a t e d,0 1 2 3 4 5 6 7 8 10 12,a c c e n t -,- u a t e d,"User features, features similarity, Progressive alignment"
1268,accent,6,a c c e n t u a t e s,0 1 2 3 4 5 6 7 8 10 12,a c c e n t -,- u a t e s,"User features, features similarity, Progressive alignment"
1269,accent,7,a c c e n t u a t i n g,0 1 2 3 4 5 6 7 8 9 11 12,a c c e n t -,- u a t i n g,"User features, features similarity, Progressive alignment"
1270,accent,8,a c c e n t u a t i o n,0 1 2 3 4 5 6 7 8 9 10 11,a c c e n t -,- u a t i o n,"User features, features similarity, Progressive alignment"
1271,accent,9,a c c e n t u a t i o n s,0 1 2 3 4 5 6 7 8 9 10 11 12,a c c e n t -,- u a t i o n s,"User features, features similarity, Progressive alignment"
1272,acclaim,0,a c c l a i m,0 1 2 3 4 5 6,a c c l a - m -,- i -,"User features, features similarity, Progressive alignment"
1273,acclaim,1,a c c l a i m e d,0 1 2 3 4 5 6 7 8,a c c l a - m -,- i - e d,"User features, features similarity, Progressive alignment"
1274,acclaim,2,a c c l a i m i n g,0 1 2 3 4 5 6 9 10 11,a c c l a - m -,- i - i n g,"User features, features similarity, Progressive alignment"
1275,acclaim,3,a c c l a i m s,0 1 2 3 4 5 6 7,a c c l a - m -,- i - s,"User features, features similarity, Progressive alignment"
1276,acclaim,4,a c c l a m a t i o n,0 1 2 3 4 6 7 8 9 10 11,a c c l a - m -,- a t i o n,"User features, features similarity, Progressive alignment"
1277,accommodating,0,a c c o m m o d a t i n g,0 1 2 3 4 5 6 7 8 9 10 11 12,a c c o m m o d a t i n g -,-,"User features, features similarity, Progressive alignment"
1278,accommodating,1,a c c o m m o d a t i n g l y,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,a c c o m m o d a t i n g -,- l y,"User features, features similarity, Progressive alignment"
1279,accommodations,0,a c c o m m o d a t i o n s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,a c c o m m o d a t i o n s,-,"User features, features similarity, Progressive alignment"
1280,accomplished,0,a c c o m p l i s h e d,0 1 2 3 4 5 6 7 8 9 10 11,a c c o m p l i s h e d,-,"User features, features similarity, Progressive alignment"
1281,accord,0,a c c o r d,0 1 2 3 4 5,a c c o r d -,-,"User features, features similarity, Progressive alignment"
1282,accord,1,a c c o r d a n c e,0 1 2 3 4 5 7 8 9 10,a c c o r d -,- a n c e,"User features, features similarity, Progressive alignment"
1283,accord,2,a c c o r d e d,0 1 2 3 4 5 10 11,a c c o r d -,- e d,"User features, features similarity, Progressive alignment"
1284,accord,3,a c c o r d i n g,0 1 2 3 4 5 6 8 9,a c c o r d -,- i n g,"User features, features similarity, Progressive alignment"
1285,accord,4,a c c o r d i n g l y,0 1 2 3 4 5 6 8 9 10 11,a c c o r d -,- i n g l y,"User features, features similarity, Progressive alignment"
1286,accord,5,a c c o r d i o n,0 1 2 3 4 5 6 7 8,a c c o r d -,- i o n,"User features, features similarity, Progressive alignment"
1287,accord,6,a c c o r d i o n s,0 1 2 3 4 5 6 7 8 11,a c c o r d -,- i o n s,"User features, features similarity, Progressive alignment"
1288,accord,7,a c c o r d s,0 1 2 3 4 5 11,a c c o r d -,- s,"User features, features similarity, Progressive alignment"
1289,accost,0,a c c o s t,0 1 2 3 4 5,a c c o s t -,-,"User features, features similarity, Progressive alignment"
1290,accost,1,a c c o s t e d,0 1 2 3 4 5 6 7,a c c o s t -,- e d,"User features, features similarity, Progressive alignment"
1291,accost,2,a c c o s t i n g,0 1 2 3 4 5 6 7 8,a c c o s t -,- i n g,"User features, features similarity, Progressive alignment"
1292,accost,3,a c c o s t s,0 1 2 3 4 5 8,a c c o s t -,- s,"User features, features similarity, Progressive alignment"
1293,account,0,a c c o u n t,6 7 8 9 10 11 12,- a c c o u n t -,-,"User features, features similarity, Progressive alignment"
1294,account,1,a c c o u n t a b l e,6 7 8 9 10 11 12 13 14 15 16,- a c c o u n t -,- a b l e,"User features, features similarity, Progressive alignment"
1295,account,2,a c c o u n t a b l y,6 7 8 9 10 11 12 13 14 15 16,- a c c o u n t -,- a b l y,"User features, features similarity, Progressive alignment"
1296,account,3,a c c o u n t a n c y,6 7 8 9 10 11 12 13 14 15 16,- a c c o u n t -,- a n c y,"User features, features similarity, Progressive alignment"
1297,account,4,a c c o u n t a n t,6 7 8 9 10 11 12 13 14 15,- a c c o u n t -,- a n t,"User features, features similarity, Progressive alignment"
1298,account,5,a c c o u n t a n t s,6 7 8 9 10 11 12 13 14 15 16,- a c c o u n t -,- a n t s,"User features, features similarity, Progressive alignment"
1299,account,6,a c c o u n t e d,6 7 8 9 10 11 12 13 14,- a c c o u n t -,- e d,"User features, features similarity, Progressive alignment"
1300,account,7,a c c o u n t i n g,6 7 8 9 10 11 12 13 14 15,- a c c o u n t -,- i n g,"User features, features similarity, Progressive alignment"
1301,account,8,a c c o u n t s,6 7 8 9 10 11 12 16,- a c c o u n t -,- s,"User features, features similarity, Progressive alignment"
1302,account,9,c h a r g e - a c c o u n t,0 1 2 3 4 5 6 7 8 9 10 11 12,- a c c o u n t -,c h a r g e -,"User features, features similarity, Progressive alignment"
1303,account,10,c h a r g e - a c c o u n t s,0 1 2 3 4 5 6 7 8 9 10 11 12 16,- a c c o u n t -,c h a r g e - s,"User features, features similarity, Progressive alignment"
1304,account,11,n o - a c c o u n t,3 4 6 7 8 9 10 11 12,- a c c o u n t -,n o -,"User features, features similarity, Progressive alignment"
1305,account,12,n o - a c c o u n t s,3 4 6 7 8 9 10 11 12 16,- a c c o u n t -,n o - s,"User features, features similarity, Progressive alignment"
1306,account,13,o p e n - a c c o u n t,0 1 2 3 6 7 8 9 10 11 12,- a c c o u n t -,o p e n -,"User features, features similarity, Progressive alignment"
1307,account,14,o p e n - a c c o u n t s,0 1 2 3 6 7 8 9 10 11 12 16,- a c c o u n t -,o p e n - s,"User features, features similarity, Progressive alignment"
1308,account,15,u n a c c o u n t a b l e,2 3 6 7 8 9 10 11 12 13 14 15 16,- a c c o u n t -,u n - a b l e,"User features, features similarity, Progressive alignment"
1309,account,16,u n a c c o u n t a b l y,2 3 6 7 8 9 10 11 12 13 14 15 16,- a c c o u n t -,u n - a b l y,"User features, features similarity, Progressive alignment"
1310,accredited,0,a c c r e d i t e d,0 1 2 3 4 5 6 7 8 9,a c c r e d i t e d,-,"User features, features similarity, Progressive alignment"
1311,accrete,0,a c c r e t e,0 1 2 3 4 5 7,a c c r e t -,- e,"User features, features similarity, Progressive alignment"
1312,accrete,1,a c c r e t e d,0 1 2 3 4 5 7 9,a c c r e t -,- e d,"User features, features similarity, Progressive alignment"
1313,accrete,2,a c c r e t e s,0 1 2 3 4 5 7 9,a c c r e t -,- e s,"User features, features similarity, Progressive alignment"
1314,accrete,3,a c c r e t i n g,0 1 2 3 4 5 6 8 9,a c c r e t -,- i n g,"User features, features similarity, Progressive alignment"
1315,accrete,4,a c c r e t i o n,0 1 2 3 4 5 6 7 8,a c c r e t -,- i o n,"User features, features similarity, Progressive alignment"
1316,accrete,5,a c c r e t i o n s,0 1 2 3 4 5 6 7 8 9,a c c r e t -,- i o n s,"User features, features similarity, Progressive alignment"
1317,accrue,0,a c c r u e,0 1 2 3 4 5,a c c r u -,- e,"User features, features similarity, Progressive alignment"
1318,accrue,1,a c c r u e d,0 1 2 3 4 5 6,a c c r u -,- e d,"User features, features similarity, Progressive alignment"
1319,accrue,2,a c c r u e s,0 1 2 3 4 5 7,a c c r u -,- e s,"User features, features similarity, Progressive alignment"
1320,accrue,3,a c c r u i n g,0 1 2 3 4 5 6 7,a c c r u -,- i n g,"User features, features similarity, Progressive alignment"
1321,accusative,0,a c c u s a t i v e,0 1 2 3 4 5 6 7 8 9,a c c u s a t i v e -,-,"User features, features similarity, Progressive alignment"
1322,accusative,1,a c c u s a t i v e s,0 1 2 3 4 5 6 7 8 9 10,a c c u s a t i v e -,- s,"User features, features similarity, Progressive alignment"
1323,accuse,0,a c c u s a t i o n,0 1 2 3 4 5 6 7 8 9,a c c u s -,- a t i o n,"User features, features similarity, Progressive alignment"
1324,accuse,1,a c c u s a t i o n s,0 1 2 3 4 5 6 7 8 9 10,a c c u s -,- a t i o n s,"User features, features similarity, Progressive alignment"
1325,accuse,2,a c c u s a t i v e,0 1 2 3 4 5 6 7 8 9,a c c u s -,- a t i v e,"User features, features similarity, Progressive alignment"
1326,accuse,3,a c c u s a t i v e s,0 1 2 3 4 5 6 7 8 9 10,a c c u s -,- a t i v e s,"User features, features similarity, Progressive alignment"
1327,accuse,4,a c c u s e,0 1 2 3 4 5,a c c u s -,- e,"User features, features similarity, Progressive alignment"
1328,accuse,5,a c c u s e d,0 1 2 3 4 5 6,a c c u s -,- e d,"User features, features similarity, Progressive alignment"
1329,accuse,6,a c c u s e r,0 1 2 3 4 5 8,a c c u s -,- e r,"User features, features similarity, Progressive alignment"
1330,accuse,7,a c c u s e r s,0 1 2 3 4 5 8 10,a c c u s -,- e r s,"User features, features similarity, Progressive alignment"
1331,accuse,8,a c c u s e s,0 1 2 3 4 5 10,a c c u s -,- e s,"User features, features similarity, Progressive alignment"
1332,accuse,9,a c c u s i n g,0 1 2 3 4 7 9 10,a c c u s -,- i n g,"User features, features similarity, Progressive alignment"
1333,accused,0,a c c u s e d,0 1 2 3 4 5 6,a c c u s e d,-,"User features, features similarity, Progressive alignment"
1334,accusing,0,a c c u s i n g,0 1 2 3 4 5 6 7,a c c u s i n g -,-,"User features, features similarity, Progressive alignment"
1335,accusing,1,a c c u s i n g l y,0 1 2 3 4 5 6 7 8 9,a c c u s i n g -,- l y,"User features, features similarity, Progressive alignment"
1336,accustomed,0,a c c u s t o m e d,2 3 4 5 6 7 8 9 10 11,- a c c u s t o m e d,-,"User features, features similarity, Progressive alignment"
1337,accustomed,1,u n a c c u s t o m e d,0 1 2 3 4 5 6 7 8 9 10 11,- a c c u s t o m e d,u n -,"User features, features similarity, Progressive alignment"
1338,ace,0,a c e,0 1 2,a c e -,-,"User features, features similarity, Progressive alignment"
1339,ace,1,a c e s,0 1 2 3,a c e -,- s,"User features, features similarity, Progressive alignment"
1340,acetyl,0,a c e t y l,3 4 5 6 7 8,- a c e t y l -,-,"User features, features similarity, Progressive alignment"
1341,acetyl,1,a c e t y l e n e,3 4 5 6 7 8 9 10 11,- a c e t y l -,- e n e,"User features, features similarity, Progressive alignment"
1342,acetyl,2,o x y a c e t y l e n e,0 1 2 3 4 5 6 7 8 9 10 11,- a c e t y l -,o x y - e n e,"User features, features similarity, Progressive alignment"
1343,ache,0,a c h e,10 11 12 14,- a c h -,- e,"User features, features similarity, Progressive alignment"
1344,ache,1,a c h e d,10 11 12 14 16,- a c h -,- e d,"User features, features similarity, Progressive alignment"
1345,ache,2,a c h e s,10 11 12 14 15,- a c h -,- e s,"User features, features similarity, Progressive alignment"
1346,ache,3,a c h i n g,10 11 12 13 15 16,- a c h -,- i n g,"User features, features similarity, Progressive alignment"
1347,ache,4,b a c k a c h e,3 6 7 8 10 11 12 14,- a c h -,b a c k - e,"User features, features similarity, Progressive alignment"
1348,ache,5,b a c k a c h e s,3 6 7 8 10 11 12 14 15,- a c h -,b a c k - e s,"User features, features similarity, Progressive alignment"
1349,ache,6,b e l l y - a c h e,3 5 7 8 9 10 11 12 14,- a c h -,b e l l y - e,"User features, features similarity, Progressive alignment"
1350,ache,7,b e l l y - a c h e d,3 5 7 8 9 10 11 12 14 16,- a c h -,b e l l y - e d,"User features, features similarity, Progressive alignment"
1351,ache,8,b e l l y - a c h e s,3 5 7 8 9 10 11 12 14 15,- a c h -,b e l l y - e s,"User features, features similarity, Progressive alignment"
1352,ache,9,b e l l y - a c h i n g,3 5 7 8 9 10 11 12 13 15 16,- a c h -,b e l l y - i n g,"User features, features similarity, Progressive alignment"
1353,ache,10,e a r a c h e,5 6 7 10 11 12 14,- a c h -,e a r - e,"User features, features similarity, Progressive alignment"
1354,ache,11,e a r a c h e s,5 6 7 10 11 12 14 15,- a c h -,e a r - e s,"User features, features similarity, Progressive alignment"
1355,ache,12,f a c e - a c h e,0 1 2 5 10 11 12 14,- a c h -,f a c e - e,"User features, features similarity, Progressive alignment"
